query	grouping_confidence	location_confidence	orientation_confidence
NZ_FOXB01000058.1	1.0	0.008432836315974529	0.9665093279388627
NZ_FOXB01000057.1	1.0	1.0	1.0
NZ_FOXB01000001.1	1.0	0.10394358260955715	0.5018342839838961
NZ_FOXB01000002.1	1.0	1.0	1.0
NZ_FOXB01000063.1	1.0	1.0	1.0
NZ_FOXB01000030.1	1.0	1.0	1.0
NZ_FOXB01000048.1	1.0	0.016417622826143605	1.0
NZ_FOXB01000041.1	1.0	0.02465511242578816	1.0
NZ_FOXB01000037.1	1.0	1.0	1.0
NZ_FOXB01000008.1	1.0	0.08991243635988204	0.995894933256782
NZ_FOXB01000044.1	1.0	0.025643138318954557	0.9826048418370174
NZ_FOXB01000018.1	1.0	1.0	1.0
NZ_FOXB01000038.1	1.0	1.0	1.0
NZ_FOXB01000004.1	1.0	1.0	1.0
NZ_FOXB01000076.1	1.0	1.0	1.0
NZ_FOXB01000005.1	1.0	1.0	1.0
NZ_FOXB01000068.1	1.0	0.002683326978845332	1.0
NZ_FOXB01000039.1	1.0	1.0	1.0
NZ_FOXB01000025.1	1.0	1.0	1.0
NZ_FOXB01000064.1	1.0	1.0	1.0
NZ_FOXB01000085.1	1.0	1.0	1.0
NZ_FOXB01000032.1	1.0	1.0	1.0
NZ_FOXB01000050.1	1.0	1.0	1.0
NZ_FOXB01000019.1	1.0	0.2671515007004262	0.9937968582649054
NZ_FOXB01000034.1	1.0	0.10231980663141535	0.9794320137693632
NZ_FOXB01000006.1	1.0	0.428707696392485	0.9966395614226239
NZ_FOXB01000083.1	1.0	1.0	1.0
NZ_FOXB01000036.1	1.0	1.0	1.0
NZ_FOXB01000066.1	1.0	0.1664559842240987	0.9565613608748481
NZ_FOXB01000035.1	1.0	0.36216089803554724	0.9864824142235998
NZ_FOXB01000071.1	1.0	1.0	1.0
NZ_FOXB01000046.1	1.0	1.0	1.0
NZ_FOXB01000045.1	1.0	0.8418967921896792	0.9799218076999536
NZ_FOXB01000078.1	1.0	1.0	1.0
NZ_FOXB01000016.1	1.0	1.0	1.0
NZ_FOXB01000021.1	1.0	1.0	1.0
NZ_FOXB01000012.1	1.0	0.23679334979349637	1.0
NZ_FOXB01000067.1	1.0	0.02275383113425241	1.0
NZ_FOXB01000017.1	1.0	0.13708100558659217	1.0
NZ_FOXB01000051.1	1.0	1.0	1.0
NZ_FOXB01000080.1	1.0	1.0	1.0
NZ_FOXB01000055.1	1.0	1.0	1.0
NZ_FOXB01000020.1	1.0	1.0	1.0
NZ_FOXB01000007.1	1.0	1.0	1.0
NZ_FOXB01000042.1	1.0	0.03698577547886527	0.9839810783207009
NZ_FOXB01000053.1	1.0	1.0	1.0
NZ_FOXB01000091.1	1.0	1.0	1.0
NZ_FOXB01000009.1	1.0	0.09850985912395113	0.9897628829150665
NZ_FOXB01000060.1	1.0	1.0	1.0
NZ_FOXB01000069.1	1.0	0.004435979603764839	1.0
NZ_FOXB01000023.1	1.0	1.0	1.0
NZ_FOXB01000029.1	1.0	1.0	1.0
NZ_FOXB01000011.1	1.0	0.06883869851159571	0.9945526922271108
NZ_FOXB01000022.1	1.0	0.04371626416232499	0.9963642609716298
NZ_FOXB01000049.1	1.0	1.0	1.0
NZ_FOXB01000062.1	1.0	0.010839090230260223	1.0
NZ_FOXB01000033.1	1.0	1.0	1.0
NZ_FOXB01000056.1	1.0	1.0	1.0
NZ_FOXB01000043.1	1.0	0.014525645837173307	0.9883045405901238
NZ_FOXB01000052.1	1.0	0.008195998547317545	0.9281546316557258
NZ_FOXB01000061.1	1.0	0.017152716297198823	0.9856911677029214
NZ_FOXB01000031.1	1.0	1.0	1.0
NZ_FOXB01000013.1	1.0	1.0	1.0
NZ_FOXB01000014.1	1.0	1.0	1.0
NZ_FOXB01000027.1	1.0	1.0	1.0
NZ_FOXB01000089.1	1.0	1.0	1.0
NZ_FOXB01000024.1	1.0	1.0	1.0
NZ_FOXB01000026.1	1.0	1.0	1.0
NZ_FOXB01000077.1	1.0	1.0	1.0
NZ_FOXB01000059.1	1.0	1.0	1.0
NZ_FOXB01000040.1	1.0	1.0	1.0
NZ_FOXB01000010.1	1.0	1.0	1.0
NZ_FOXB01000003.1	1.0	0.04998360999813697	1.0
