accession	organism
GCF_000012965.1	Sulfurimonas denitrificans
GCF_000021725.1	Nautilia profundicola
GCF_000024885.1	Sulfurospirillum deleyianum
GCF_000092245.1	Arcobacter nitrofigilis
GCF_000147355.1	Sulfurimonas autotrophica
GCF_000155475.1	Helicobacter cinaedi
GCF_000162575.1	Helicobacter canadensis
GCF_000183725.1	Sulfuricurvum kujiense
GCF_000194135.1	Hippea maritima
GCF_000196135.1	Wolinella succinogenes
GCF_000200595.1	Helicobacter felis
GCF_000242915.1	Sulfurimonas gotlandica
GCF_000254135.1	Campylobacter coli
GCF_000259275.1	Helicobacter cetorum
GCF_000265295.1	Sulfurospirillum barnesii
GCF_000420385.1	Hippea alviniae
GCF_000445475.1	Sulfurimonas hongkongensis
GCF_000507845.1	Helicobacter macacae
GCF_000518225.1	Helicobacter pametensis
GCF_000568815.1	Sulfurospirillum multivorans
GCF_000597725.1	Sulfurospirillum arcachonense
GCF_000686565.1	Helicobacter bilis
GCF_000687535.1	Helicobacter rodentium
GCF_000736415.1	Campylobacter iguaniorum
GCF_000744435.1	Hippea jasoniae
GCF_000762845.2	Helicobacter japonicus
GCF_000762875.2	Helicobacter saguini
GCF_000763135.2	Helicobacter jaachi
GCF_000765805.2	Helicobacter muridarum
GCF_000765905.2	Helicobacter trogontum
GCF_000813325.1	Sulfurospirillum cavolei
GCF_000816185.1	Campylobacter insulaenigrae
GCF_000816305.1	Campylobacter subantarcticus
GCF_000816785.1	Campylobacter peloridis
GCF_001282945.1	Helicobacter ailurogastricus
GCF_001283065.1	Helicobacter heilmannii
GCF_001298465.1	Campylobacter concisus
GCF_001457695.1	Campylobacter jejuni
GCF_001602095.1	Helicobacter himalayensis
GCF_001687475.2	Campylobacter hepaticus
GCF_001693335.1	Helicobacter enhydrae
GCF_001723605.1	Sulfurospirillum halorespirans
GCF_001956695.1	Poseidonibacter parvus
GCF_002021925.1	Campylobacter pinnipediorum
GCF_002080395.1	Campylobacter helveticus
GCF_002104335.1	Campylobacter cuniculorum
GCF_002119425.1	Desulfurella amilsii
GCF_002139855.1	Campylobacter porcelli
GCF_002139875.1	Campylobacter vicugnae
GCF_002139915.1	Campylobacter devanensis
GCF_002139935.1	Campylobacter lanienae
GCF_002238335.1	Campylobacter avium
GCF_002335445.1	Lebetimonas natsushimae
GCF_002837275.1	Malaciobacter halophilus
GCF_003063245.1	Arcobacter caeni
GCF_003063295.1	Arcobacter lacus
GCF_003245365.1	Helicobacter valdiviensis
GCF_003316695.1	Aliarcobacter vitoriensis
GCF_003346775.1	Malaciobacter mytili
GCF_003346815.1	Halarcobacter bivalviorum
GCF_003355515.1	Aliarcobacter trophiarum
GCF_003364195.1	Helicobacter didelphidarum
GCF_003364205.1	Helicobacter brantae
GCF_003364215.1	Helicobacter cholecystus
GCF_003364255.1	Helicobacter marmotae
GCF_003364335.1	Helicobacter anseris
GCF_003544835.1	Aliarcobacter skirrowii
GCF_003544855.1	Malaciobacter marinus
GCF_003544935.1	Malaciobacter molluscorum
GCF_003660105.1	Aliarcobacter cryaerophilus
GCF_003660265.1	Helicobacter mehlei
GCF_003660285.1	Helicobacter labacensis
GCF_003660395.1	Helicobacter vulpis
GCF_003667345.1	Poseidonibacter antarcticus
GCF_003670275.1	Helicobacter labetoulli
GCF_003752135.1	Caminibacter pacificus
GCF_004214795.1	Malaciobacter pacificus
GCF_004214815.1	Aliarcobacter thereius
GCF_004299785.2	Arcobacter porcinus
GCF_004323845.1	Campylobacter novaezeelandiae
GCF_004803795.1	Campylobacter rectus
GCF_004803815.1	Campylobacter showae
GCF_005217605.1	Sulfurimonas crateris
GCF_005406215.1	Campylobacter aviculae
GCF_005406225.1	Campylobacter taeniopygiae
GCF_005843985.1	Caminibacter mediatlanticus
GCF_006459125.1	Halarcobacter anaerophilus
GCF_006864425.1	Campylobacter troglodytis
GCF_008245005.1	Campylobacter sputorum
GCF_008245045.1	Campylobacter volucris
GCF_008693005.1	Helicobacter canis
GCF_009068765.1	Sulfurimonas hydrogeniphila
GCF_009192995.1	Sulfurimonas indica
GCF_009258225.1	Sulfurimonas lithotrophica
GCF_011769985.2	Sulfurospirillum diekertiae
GCF_013177635.1	Arcobacter aquimarinus
GCF_013177655.1	Campylobacter canadensis
GCF_013201605.1	Campylobacter ornithocola
GCF_013201625.1	Aliarcobacter lanthieri
GCF_013201705.1	Aliarcobacter faecis
GCF_013201725.1	Arcobacter defluvii
GCF_013201825.1	Halarcobacter ebronensis
GCF_013201935.1	Arcobacter cloacae
GCF_013283835.1	Poseidonibacter lekithochrous
GCF_013372105.1	Campylobacter armoricus
GCF_013372125.1	Campylobacter curvus
GCF_013372145.1	Campylobacter hyointestinalis
GCF_013372185.1	Campylobacter lari
GCF_013372205.1	Campylobacter mucosalis
GCF_013372265.1	Aliarcobacter cibarius
GCF_014253065.1	Campylobacter massiliensis
GCF_014466985.1	Nitrosophilus labii
GCF_014905095.1	Sulfurimonas marina
GCF_014905115.1	Sulfurimonas sediminis
GCF_014905135.1	Sulfurimonas paralvinellae
GCF_015100395.1	Nitrosophilus alvini
GCF_015265455.1	Sulfurimonas baltica
GCF_015265475.1	Sulfurimonas marisnigri
GCF_016106035.1	Arcobacter vandammei
GCF_016593255.1	Hydrogenimonas urashimensis
GCF_016806695.1	Campylobacter bilis
GCF_016937535.1	Sulfurospirillum tamanense
GCF_017357825.1	Sulfurimonas aquatica
GCF_017979425.1	Helicobacter salomonis
GCF_017979475.1	Helicobacter pullorum
GCF_018145655.1	Campylobacter anatolicus
GCF_019711685.1	Helicobacter turcicus
GCF_021300615.1	Helicobacter anatolicus
GCF_021300655.1	Helicobacter kayseriensis
GCF_023646285.1	Helicobacter colisuis
GCF_024267655.1	Arcobacter roscoffensis
