gene	proteins	ref_majority_agree	eggnog_confirmed	eggnog_reclassified	eggnog_unconfirmed	eggnog_no_hit	flagged
chea	108	86	0	0	0	0	0
chev	106	105	0	0	0	0	0
flag	119	106	0	0	0	0	0
flga	119	110	0	0	0	0	0
flgb	149	149	0	0	0	0	0
flgc	149	149	0	0	0	0	0
flgd	137	135	0	0	0	0	0
flge	114	114	0	0	0	0	0
flgg	148	148	0	0	0	0	0
flgh	147	147	0	0	0	0	0
flgi	149	149	0	0	0	0	0
flgj	141	0	0	0	0	0	0
flgk	148	148	0	0	0	0	0
flgl	147	143	0	0	0	0	0
flgr	104	103	0	0	0	0	0
flgs	103	103	0	0	0	0	0
flha	147	147	0	0	0	0	0
flhb	148	148	0	0	0	0	0
flhf	143	142	0	0	0	0	1
flia	116	116	0	0	0	0	0
flid	148	147	0	0	0	0	0
flie	148	148	0	0	0	0	0
flif	149	149	0	0	0	0	0
flig	148	148	0	0	0	0	0
flih	143	142	0	0	0	0	0
flii	146	146	0	0	0	0	0
flik	124	49	0	0	0	0	0
flil	105	105	0	0	0	0	0
flim	148	148	0	0	0	0	0
flin	149	144	0	0	0	0	5
flip	147	147	0	0	0	0	0
fliq	148	148	0	0	0	0	0
flir	149	149	0	0	0	0	0
flis	149	149	0	0	0	0	0
fliw	94	89	0	0	0	0	0
fliy	112	112	0	0	0	0	0
pflb	115	114	0	0	0	0	0
