gene	contig	start	end	strand	overlaps
flim	NZ_JAIGYQ010000003.1	7933	8991	+	
fliy	NZ_JAIGYQ010000003.1	8995	9840	+	
flir	NZ_JAIGYQ010000013.1	17254	18033	-	
flha	NZ_JAIGYQ010000003.1	33326	35581	+	
flgg	NZ_JAIGYQ010000012.1	33341	34132	+	
flhb	NZ_JAIGYQ010000007.1	35663	36727	-	
flgk	NZ_JAIGYQ010000006.1	54466	56292	-	
flis	NZ_JAIGYQ010000001.1	66790	67167	-	
flid	NZ_JAIGYQ010000001.1	67181	69247	-	
flif	NZ_JAIGYQ010000006.1	78898	80616	+	
flie	NZ_JAIGYQ010000004.1	80163	80480	-	
flgc	NZ_JAIGYQ010000004.1	80491	80991	-	
flig	NZ_JAIGYQ010000006.1	80616	81650	+	flih
fliq	NZ_JAIGYQ010000003.1	80682	80948	-	
flgb	NZ_JAIGYQ010000004.1	81002	81436	-	
flih	NZ_JAIGYQ010000006.1	81643	82479	+	flig
flgl	NZ_JAIGYQ010000005.1	116117	118762	-	
flin	NZ_JAIGYQ010000004.1	116711	117070	+	
flip	NZ_JAIGYQ010000001.1	123763	124491	+	
flge	NZ_JAIGYQ010000004.1	130717	133005	+	
flgh	NZ_JAIGYQ010000002.1	133936	134670	-	
flgd	NZ_JAIGYQ010000001.1	271539	272516	+	
flil	NZ_JAIGYQ010000001.1	329822	330364	-	
