gene	contig	start	end	strand	overlaps
flil	NZ_DS990393.1	17498	18088	-	
flha	NZ_DS990391.1	54576	56780	+	
mota	NZ_DS990391.1	85512	86282	+	
motb	NZ_DS990391.1	86292	87044	+	
fliq	NZ_DS990394.1	97341	97607	-	
flik	NZ_DS990391.1	121672	122916	+	
flgd	NZ_DS990391.1	122932	123753	+	
flin	NZ_DS990391.1	162318	162668	-	
flih	NZ_DS990393.1	221693	222544	-	flig
flig	NZ_DS990393.1	222531	223562	-	flih
flif	NZ_DS990393.1	223580	225289	-	
flid	NZ_DS990391.1	261170	263218	+	
flis	NZ_DS990391.1	263236	263619	+	
flgl	NZ_DS990392.1	303474	306041	+	
flge	NZ_DS990392.1	313079	315235	+	
flgk	NZ_DS990391.1	322301	324121	+	
flga	NZ_DS990392.1	358795	359754	+	
flir	NZ_DS990393.1	364380	365156	-	
flip	NZ_DS990393.1	373811	374635	-	
flgh	NZ_DS990391.1	395732	396445	+	
flie	NZ_DS990392.1	607212	607517	-	
flgc	NZ_DS990392.1	607527	608018	-	
flgb	NZ_DS990392.1	608037	608471	-	
flim	NZ_DS990391.1	743189	744250	+	
fliy	NZ_DS990391.1	744304	745083	+	
flhb	NZ_DS990391.1	778836	779969	+	
flgg	NZ_DS990391.1	801172	801960	-	
