gene	contig	start	end	strand	overlaps
flik	NZ_CP012541.1	9778	11169	-	
flhb	NZ_CP012541.1	448559	449632	-	
flim	NZ_CP012541.1	530304	531407	+	fliy
fliy	NZ_CP012541.1	531397	532245	+	flim
flik	NZ_CP012541.1	598561	600192	+	
flie	NZ_CP012541.1	702572	702865	-	
flgc	NZ_CP012541.1	702865	703365	-	
flgb	NZ_CP012541.1	703374	703808	-	
flga	NZ_CP012541.1	906899	907705	-	
flgh	NZ_CP012541.1	1015944	1016651	-	
flgk	NZ_CP012541.1	1044346	1046217	-	
flgn	NZ_CP012541.1	1046221	1046652	-	
flid	NZ_CP012541.1	1049775	1051535	+	
flis	NZ_CP012541.1	1051545	1051916	+	
flil	NZ_CP012541.1	1126842	1127378	-	
flip	NZ_CP012541.1	1185790	1186512	-	
flgg	NZ_CP012541.1	1249936	1250724	-	
flha	NZ_CP012541.1	1285537	1287732	-	
flih	NZ_CP012541.1	1433212	1434075	-	flig
flig	NZ_CP012541.1	1434072	1435103	-	flih
flif	NZ_CP012541.1	1435103	1436800	-	
flir	NZ_CP012541.1	1498841	1499602	-	
flin	NZ_CP012541.1	1536289	1536606	-	
fliq	NZ_CP012541.1	1659799	1660068	+	
flge	NZ_CP012541.1	1833690	1836173	+	
