gene	contig	start	end	strand	overlaps
flgb	NZ_NXLV01000024.1	182	613	+	
flgc	NZ_NXLV01000024.1	624	1118	+	
flie	NZ_NXLV01000024.1	1130	1444	+	
mota	NZ_NXLV01000004.1	4589	5359	+	
motb	NZ_NXLV01000004.1	5369	6145	+	
flgk	NZ_NXLV01000008.1	5485	7302	-	
flgd	NZ_NXLV01000004.1	13354	14238	+	
flgg	NZ_NXLV01000002.1	23431	24219	-	
flgh	NZ_NXLV01000013.1	27385	28101	-	
fliq	NZ_NXLV01000006.1	33285	33551	-	
flha	NZ_NXLV01000006.1	38213	40435	+	
flge	NZ_NXLV01000004.1	40572	42716	+	
flip	NZ_NXLV01000008.1	41689	42423	+	
fliy	NZ_NXLV01000008.1	46012	46863	-	
flim	NZ_NXLV01000008.1	46876	47937	-	
flin	NZ_NXLV01000001.1	47098	47448	-	
flhb	NZ_NXLV01000002.1	51112	52206	+	
flir	NZ_NXLV01000004.1	56995	57768	+	
flgl	NZ_NXLV01000004.1	76754	79270	-	
flga	NZ_NXLV01000001.1	93684	94538	+	
flid	NZ_NXLV01000004.1	105424	107460	+	
flis	NZ_NXLV01000004.1	107474	107854	+	
flif	NZ_NXLV01000001.1	233928	235658	+	
flig	NZ_NXLV01000001.1	235671	236702	+	
