gene	contig	start	end	strand	overlaps
flif	NZ_CP053831.1	165610	167310	+	
flig	NZ_CP053831.1	167361	168341	+	flih
flih	NZ_CP053831.1	168338	169132	+	flig
fliq	NZ_CP053831.1	256259	256525	+	
flil	NZ_CP053831.1	636061	636594	+	
flgg	NZ_CP053831.1	699863	700651	+	
flip	NZ_CP053831.1	734822	735553	+	
flis	NZ_CP053831.1	811290	811664	-	
flid	NZ_CP053831.1	811672	813531	-	
flgk	NZ_CP053831.1	817010	818881	+	
flga	NZ_CP053831.1	826921	827724	-	
flgh	NZ_CP053831.1	858241	858948	+	
flha	NZ_CP053831.1	1146738	1148927	-	
flie	NZ_CP053831.1	1232493	1232786	-	
flgc	NZ_CP053831.1	1232786	1233292	-	
flgb	NZ_CP053831.1	1233304	1233738	-	
fliy	NZ_CP053831.1	1342312	1343163	-	flim
flim	NZ_CP053831.1	1343153	1344250	-	fliy
flhb	NZ_CP053831.1	1378046	1379125	+	
flin	NZ_CP053831.1	1493608	1493931	-	
flir	NZ_CP053831.1	1588703	1589464	-	
flge	NZ_CP053831.1	1696934	1699447	-	
