gene	contig	start	end	strand	overlaps
mota	NZ_CP018788.1	294796	295566	+	
motb	NZ_CP018788.1	295575	296291	+	
flim	NZ_CP018788.1	333768	334874	+	fliy
fliy	NZ_CP018788.1	334864	335682	+	flim
flhb	NZ_CP018788.1	402273	403349	+	
flin	NZ_CP018788.1	407729	408034	-	
flgh	NZ_CP018788.1	458562	459275	+	
flgg	NZ_CP018788.1	548422	549210	+	
flis	NZ_CP018788.1	615933	616334	-	flid
flid	NZ_CP018788.1	616321	618174	-	flis
flha	NZ_CP018788.1	750409	752577	+	
flil	NZ_CP018788.1	839881	840396	-	
flip	NZ_CP018788.1	864744	865469	-	
flga	NZ_CP018788.1	939878	940351	+	
flgb	NZ_CP018788.1	950573	951013	+	
flgc	NZ_CP018788.1	951024	951518	+	
flie	NZ_CP018788.1	951523	951813	+	
flgk	NZ_CP018788.1	1129163	1131019	-	
flgn	NZ_CP018788.1	1131021	1131464	-	
flif	NZ_CP018788.1	1242676	1244385	+	
flig	NZ_CP018788.1	1244385	1245410	+	flih
flih	NZ_CP018788.1	1245407	1246222	+	flig
flir	NZ_CP018788.1	1457227	1458000	+	
fliq	NZ_CP018788.1	1489244	1489510	+	
