gene	contig	start	end	strand	overlaps
flip	NZ_JRMQ02000008.1	13933	14661	+	
fliq	NZ_JRMQ02000003.1	21076	21342	+	
flir	NZ_JRMQ02000008.1	25191	25967	+	
flha	NZ_JRMQ02000001.1	33020	35233	+	
flge	NZ_JRMQ02000012.1	33172	35328	+	
flgh	NZ_JRMQ02000008.1	33804	34529	-	
flin	NZ_JRMQ02000003.1	38098	38448	-	
fliy	NZ_JRMQ02000002.1	41817	42653	-	flim
flim	NZ_JRMQ02000002.1	42650	43714	-	fliy
flgl	NZ_JRMQ02000012.1	42723	45284	-	
motb	NZ_JRMQ02000001.1	45272	46021	-	
mota	NZ_JRMQ02000001.1	46033	46803	-	
flgg	NZ_JRMQ02000002.1	55399	56187	-	
flil	NZ_JRMQ02000001.1	110071	110658	-	
flie	NZ_JRMQ02000005.1	116405	116716	-	
flgc	NZ_JRMQ02000005.1	116726	117217	-	
flgb	NZ_JRMQ02000005.1	117242	117676	-	
flga	NZ_JRMQ02000005.1	125587	126522	+	
flih	NZ_JRMQ02000003.1	143774	144595	-	flig
flig	NZ_JRMQ02000003.1	144582	145613	-	flih
flif	NZ_JRMQ02000003.1	145630	147342	-	
flid	NZ_JRMQ02000001.1	152617	154665	+	
flis	NZ_JRMQ02000001.1	154676	155059	+	
flgk	NZ_JRMQ02000001.1	224153	225973	+	
flhb	NZ_JRMQ02000002.1	253829	254950	+	
