gene	contig	start	end	strand	overlaps
flif	NZ_BBQE01000013.1	7191	8918	+	flig
flig	NZ_BBQE01000013.1	8915	9943	+	flif
flih	NZ_BBQE01000013.1	9945	10745	+	
flhb	NZ_BBQE01000013.1	29634	30692	+	
fliq	NZ_BBQE01000009.1	31459	31725	-	
flir	NZ_BBQE01000006.1	36409	37182	-	
flgg	NZ_BBQE01000015.1	79807	80595	-	
flie	NZ_BBQE01000014.1	86533	86829	-	
fliq	NZ_BBQE01000008.1	86695	86961	-	
flgc	NZ_BBQE01000014.1	86835	87329	-	
flgb	NZ_BBQE01000014.1	87340	87777	-	
flil	NZ_BBQE01000004.1	126844	127392	+	
flga	NZ_BBQE01000001.1	128554	129315	+	
flha	NZ_BBQE01000011.1	143647	145839	-	
flik	NZ_BBQE01000005.1	160788	162488	+	
flge	NZ_BBQE01000005.1	164998	167607	+	
fliy	NZ_BBQE01000006.1	200438	201310	-	
flim	NZ_BBQE01000006.1	201326	202381	-	
flin	NZ_BBQE01000002.1	252835	253146	+	
flgh	NZ_BBQE01000001.1	255987	256694	-	
flip	NZ_BBQE01000001.1	292478	293203	-	
flgk	NZ_BBQE01000001.1	308742	310586	-	
flid	NZ_BBQE01000001.1	314169	315857	+	
flis	NZ_BBQE01000001.1	315877	316254	+	
mota	NZ_BBQE01000001.1	341953	342726	+	
motb	NZ_BBQE01000001.1	342737	343531	+	
