gene	contig	start	end	strand	overlaps
flgk	NZ_AP026671.1	991998	993389	+	
flgl	NZ_AP026671.1	993441	994334	+	
flis	NZ_AP026671.1	994558	994923	-	
flid	NZ_AP026671.1	994934	996241	-	
flhb	NZ_AP026671.1	1005515	1006570	-	
fliq	NZ_AP026671.1	1007344	1007613	-	flip
flip	NZ_AP026671.1	1007610	1008320	-	fliq
flif	NZ_AP026671.1	1013340	1014953	-	
flie	NZ_AP026671.1	1014963	1015247	-	
flgc	NZ_AP026671.1	1015258	1015665	-	
flgb	NZ_AP026671.1	1015668	1016033	-	
flha	NZ_AP026671.1	1022606	1024693	-	
flga	NZ_AP026671.1	1026747	1027688	-	flgg
flgg	NZ_AP026671.1	1027651	1028451	-	flga
flin	NZ_AP026671.1	1029183	1029689	-	flim
flim	NZ_AP026671.1	1029682	1030653	-	flin
flig	NZ_AP026671.1	1030807	1031829	-	
