gene	contig	start	end	strand	overlaps
flif	NC_013512.1	204215	205939	+	flig
flig	NC_013512.1	205936	206964	+	flif
flih	NC_013512.1	206966	207757	+	
flhb	NC_013512.1	224507	225568	+	
flim	NC_013512.1	281815	282876	+	
fliy	NC_013512.1	282880	283740	+	
flir	NC_013512.1	394939	395712	+	
flin	NC_013512.1	523378	523689	-	
flil	NC_013512.1	875422	875961	-	
flgl	NC_013512.1	969765	972170	+	
flgh	NC_013512.1	1060888	1061601	-	
flip	NC_013512.1	1140143	1140835	-	
flgk	NC_013512.1	1155338	1157182	-	
flid	NC_013512.1	1160758	1162422	+	
flis	NC_013512.1	1162440	1162817	+	
mota	NC_013512.1	1183960	1184736	+	
motb	NC_013512.1	1184746	1185546	+	
flga	NC_013512.1	1302246	1302809	+	
flha	NC_013512.1	1378285	1380477	+	
flgg	NC_013512.1	1558028	1558816	-	
flie	NC_013512.1	1687035	1687331	-	
flgc	NC_013512.1	1687352	1687843	-	
flgb	NC_013512.1	1687853	1688287	-	
fliq	NC_013512.1	2246759	2247025	+	
flge	NC_013512.1	2303775	2306330	+	
