gene	contig	start	end	strand	overlaps
flge	NZ_NXLX01000030.1	2774	4924	+	
flik	NZ_NXLX01000019.1	4389	4925	-	
flgg	NZ_NXLX01000009.1	12611	13399	-	
flih	NZ_NXLX01000003.1	18631	19443	-	flig
flig	NZ_NXLX01000003.1	19430	20461	-	flih
flif	NZ_NXLX01000003.1	20471	22171	-	
flha	NZ_NXLX01000019.1	21299	23488	-	
motb	NZ_NXLX01000004.1	22497	23270	-	
mota	NZ_NXLX01000004.1	23279	24049	-	
flgl	NZ_NXLX01000016.1	28629	31112	+	
flir	NZ_NXLX01000014.1	29616	30380	-	
flie	NZ_NXLX01000009.1	30143	30448	-	
flgc	NZ_NXLX01000009.1	30469	30963	-	
flgb	NZ_NXLX01000009.1	30976	31404	-	
flis	NZ_NXLX01000010.1	38648	39031	-	
flim	NZ_NXLX01000007.1	38704	39774	+	fliy
flid	NZ_NXLX01000010.1	39044	41089	-	
fliy	NZ_NXLX01000007.1	39767	40609	+	flim
fliq	NZ_NXLX01000008.1	47018	47284	-	
flga	NZ_NXLX01000001.1	52092	52757	+	
flin	NZ_NXLX01000003.1	63286	63630	+	
flhb	NZ_NXLX01000005.1	72553	73617	-	
flip	NZ_NXLX01000001.1	152812	153525	+	
flgh	NZ_NXLX01000001.1	162514	163209	+	
flgk	NZ_NXLX01000001.1	211415	213238	+	
