gene	contig	start	end	strand	overlaps
flge	NZ_LS483446.1	107810	109960	-	
flgg	NZ_LS483446.1	228638	229426	+	
flip	NZ_LS483446.1	288745	289473	+	
flga	NZ_LS483446.1	327775	328440	+	
motb	NZ_LS483446.1	412850	413626	-	
mota	NZ_LS483446.1	413630	414400	-	
flis	NZ_LS483446.1	440141	440521	-	
flid	NZ_LS483446.1	440541	442580	-	
flgk	NZ_LS483446.1	513143	514963	+	
flin	NZ_LS483446.1	543035	543373	+	
flha	NZ_LS483446.1	609496	611673	-	
fliq	NZ_LS483446.1	666623	666889	+	
flhb	NZ_LS483446.1	695372	696466	-	
flgl	NZ_LS483446.1	790692	793181	-	
flik	NZ_LS483446.1	903450	904001	+	
flgd	NZ_LS483446.1	904011	904850	+	
flil	NZ_LS483446.1	1225813	1226319	+	
flgh	NZ_LS483446.1	1289749	1290444	-	
flih	NZ_LS483446.1	1302570	1303352	-	flig
flig	NZ_LS483446.1	1303336	1304367	-	flih
flif	NZ_LS483446.1	1304386	1306086	-	
flgb	NZ_LS483446.1	1361214	1361582	+	
flgc	NZ_LS483446.1	1361596	1362090	+	
flie	NZ_LS483446.1	1362108	1362413	+	
fliy	NZ_LS483446.1	1389927	1390766	-	flim
flim	NZ_LS483446.1	1390759	1391832	-	fliy
flir	NZ_LS483446.1	1437309	1438073	-	
