gene	contig	start	end	strand	overlaps
flip	NZ_CP100595.1	1963861	1964589	+	
flha	NZ_CP100595.1	2524595	2526721	-	
flgl	NZ_CP100595.1	2526750	2527904	-	
flhb	NZ_CP100595.1	2531203	2532255	-	
flgc	NZ_CP100595.1	2535593	2536063	-	
flie	NZ_CP100595.1	2536077	2536373	-	
flig	NZ_CP100595.1	2550576	2551589	-	
flif	NZ_CP100595.1	2551589	2553325	-	
flgb	NZ_CP100595.1	2553342	2553749	-	
flgg	NZ_CP100595.1	2556076	2556864	+	
flis	NZ_CP100595.1	2854639	2854995	-	
flid	NZ_CP100595.1	2855085	2856443	-	
flim	NZ_CP100595.1	2863624	2864742	+	
