gene	contig	start	end	strand	overlaps
fliq	NZ_CP012543.1	176623	176889	-	
flim	NZ_CP012543.1	258797	259900	+	fliy
fliy	NZ_CP012543.1	259893	260726	+	flim
flie	NZ_CP012543.1	786171	786473	-	
flgc	NZ_CP012543.1	786479	786976	-	
flgb	NZ_CP012543.1	786986	787423	-	
flip	NZ_CP012543.1	894790	895521	+	
flil	NZ_CP012543.1	908841	909365	-	
flgg	NZ_CP012543.1	1161492	1162280	+	
flga	NZ_CP012543.1	1205553	1206359	+	
flgh	NZ_CP012543.1	1249779	1250480	-	
flgk	NZ_CP012543.1	1471449	1473302	-	
flgn	NZ_CP012543.1	1473306	1473737	-	
flid	NZ_CP012543.1	1476921	1478654	+	
flis	NZ_CP012543.1	1478666	1479058	+	
flha	NZ_CP012543.1	1508918	1511080	-	
flik	NZ_CP012543.1	1642343	1644040	-	
flir	NZ_CP012543.1	1869001	1869762	-	
flhb	NZ_CP012543.1	2121769	2122845	+	
flin	NZ_CP012543.1	2165670	2165966	+	
flih	NZ_CP012543.1	2197841	2198653	-	flig
flig	NZ_CP012543.1	2198650	2199681	-	flih
flif	NZ_CP012543.1	2199681	2201375	-	
flik	NZ_CP012543.1	2527143	2528618	+	
flge	NZ_CP012543.1	2564620	2566974	+	
