gene	contig	start	end	strand	overlaps
flgg	NZ_LR134372.1	223821	224612	-	
flis	NZ_LR134372.1	450329	450709	-	
flid	NZ_LR134372.1	450719	452656	-	
flim	NZ_LR134372.1	649187	650269	+	fliy
fliy	NZ_LR134372.1	650266	651111	+	flim
flgl	NZ_LR134372.1	696318	698582	-	
flgb	NZ_LR134372.1	752985	753416	+	
flgc	NZ_LR134372.1	753426	753920	+	
flie	NZ_LR134372.1	753927	754223	+	
flip	NZ_LR134372.1	764203	764937	-	
flha	NZ_LR134372.1	802714	804885	+	
flgh	NZ_LR134372.1	850958	851656	-	
flin	NZ_LR134372.1	915225	915539	+	
flhb	NZ_LR134372.1	1099548	1100618	-	
flih	NZ_LR134372.1	1111644	1112459	-	
flig	NZ_LR134372.1	1112468	1113496	-	
flif	NZ_LR134372.1	1113496	1115178	-	
flgp	NZ_LR134372.1	1167899	1168420	-	
flir	NZ_LR134372.1	1224426	1225193	-	
mota	NZ_LR134372.1	1252827	1253603	+	
motb	NZ_LR134372.1	1253606	1254340	+	
flga	NZ_LR134372.1	1269031	1269693	+	
flgk	NZ_LR134372.1	1502777	1504603	-	
flil	NZ_LR134372.1	1519326	1519862	+	
fliq	NZ_LR134372.1	1582246	1582515	+	
flge	NZ_LR134372.1	1647893	1650433	-	
