gene	contig	start	end	strand	overlaps
fliy	NZ_SZPX01000005.1	2017	2877	-	flim
flim	NZ_SZPX01000005.1	2870	4009	-	fliy
flif	NZ_SZPX01000009.1	16064	17764	+	
flig	NZ_SZPX01000009.1	17778	18806	+	
flih	NZ_SZPX01000009.1	18808	19611	+	
flhb	NZ_SZPX01000005.1	23382	24434	-	
flha	NZ_SZPX01000002.1	25934	28018	-	
flgg	NZ_SZPX01000003.1	29433	30221	+	
flgh	NZ_SZPX01000002.1	35212	35916	+	
fliq	NZ_SZPX01000007.1	39656	39922	-	
flir	NZ_SZPX01000008.1	45304	46068	+	
flge	NZ_SZPX01000001.1	86357	88516	+	
flgk	NZ_SZPX01000009.1	92692	94575	+	
flil	NZ_SZPX01000002.1	112670	113221	-	
flga	NZ_SZPX01000003.1	154741	155610	+	
flin	NZ_SZPX01000003.1	209958	210296	+	
flid	NZ_SZPX01000001.1	245841	247205	+	
flis	NZ_SZPX01000001.1	247303	247677	+	
flip	NZ_SZPX01000002.1	264087	264827	+	
flie	NZ_SZPX01000001.1	356418	356717	-	
flgc	NZ_SZPX01000001.1	356731	357225	-	
flgb	NZ_SZPX01000001.1	357235	357666	-	
