gene	contig	start	end	strand	overlaps
fliq	NZ_CP041235.1	149777	150043	-	
flid	NZ_CP041235.1	186739	188130	-	
flis	NZ_CP041235.1	188283	188657	+	
flie	NZ_CP041235.1	346981	347280	-	
flgc	NZ_CP041235.1	347299	347793	-	
flgb	NZ_CP041235.1	347806	348237	-	
flir	NZ_CP041235.1	419564	420328	+	
flhb	NZ_CP041235.1	700536	701588	+	
flim	NZ_CP041235.1	719634	720734	+	
fliy	NZ_CP041235.1	720738	721622	+	
flip	NZ_CP041235.1	1068741	1069478	+	
flgg	NZ_CP041235.1	1118843	1119631	+	
flga	NZ_CP041235.1	1248856	1249731	+	
flin	NZ_CP041235.1	1302214	1302528	+	
flil	NZ_CP041235.1	1437385	1437942	+	
flgh	NZ_CP041235.1	1458005	1458730	-	
flgk	NZ_CP041235.1	1679292	1681172	-	
flih	NZ_CP041235.1	1750721	1751500	-	
flig	NZ_CP041235.1	1751504	1752532	-	
flif	NZ_CP041235.1	1752535	1754244	-	
