gene	contig	start	end	strand	overlaps
flik	NZ_JACLZK010000002.1	67298	68995	+	
flip	NZ_JACLZK010000002.1	310289	311020	+	
flga	NZ_JACLZK010000002.1	352490	353296	+	
flgh	NZ_JACLZK010000002.1	363809	364510	-	
flie	NZ_JACLZK010000001.1	390725	391027	-	
flgc	NZ_JACLZK010000001.1	391033	391530	-	
flgb	NZ_JACLZK010000001.1	391540	391977	-	
flha	NZ_JACLZK010000001.1	513710	515872	+	
flgk	NZ_JACLZK010000002.1	542443	544296	-	
flgn	NZ_JACLZK010000002.1	544299	544727	-	
flid	NZ_JACLZK010000002.1	547931	549664	+	
flis	NZ_JACLZK010000002.1	549676	550068	+	
flil	NZ_JACLZK010000002.1	615564	616088	+	
flgg	NZ_JACLZK010000002.1	659868	660656	-	
flhb	NZ_JACLZK010000001.1	710641	711717	+	
flin	NZ_JACLZK010000001.1	752322	752618	+	
flih	NZ_JACLZK010000001.1	780048	780863	-	flig
flig	NZ_JACLZK010000001.1	780860	781891	-	flih
flif	NZ_JACLZK010000001.1	781891	783585	-	
flir	NZ_JACLZK010000002.1	843962	844723	-	
flik	NZ_JACLZK010000001.1	1080801	1082279	+	
flge	NZ_JACLZK010000001.1	1110581	1112932	+	
fliq	NZ_JACLZK010000001.1	1267128	1267394	-	
flim	NZ_JACLZK010000001.1	1341938	1343041	+	fliy
fliy	NZ_JACLZK010000001.1	1343031	1343867	+	flim
