gene	contig	start	end	strand	overlaps
flif	NZ_AUPZ01000004.1	16850	18562	+	
flge	NZ_AUPZ01000003.1	18530	20644	-	
flig	NZ_AUPZ01000004.1	18569	19594	+	
flih	NZ_AUPZ01000004.1	19603	20397	+	
flgg	NZ_AUPZ01000017.1	41939	42727	-	
flga	NZ_AUPZ01000002.1	55566	56447	+	
flir	NZ_AUPZ01000005.1	67208	67972	+	
fliq	NZ_AUPZ01000010.1	77103	77369	-	
flin	NZ_AUPZ01000002.1	101037	101378	+	
flis	NZ_AUPZ01000010.1	121658	122020	-	
flid	NZ_AUPZ01000010.1	122256	123656	+	
flil	NZ_AUPZ01000013.1	146581	147126	+	
flie	NZ_AUPZ01000007.1	176842	177150	-	
flgc	NZ_AUPZ01000007.1	177185	177676	-	
flgb	NZ_AUPZ01000007.1	177735	178166	-	
fliy	NZ_AUPZ01000013.1	206842	207708	-	flim
flim	NZ_AUPZ01000013.1	207701	208804	-	fliy
flgk	NZ_AUPZ01000004.1	224725	226602	+	
flhb	NZ_AUPZ01000013.1	230382	231431	-	
flip	NZ_AUPZ01000002.1	242444	243178	-	
flgh	NZ_AUPZ01000002.1	380338	381060	-	
flha	NZ_AUPZ01000002.1	388855	391026	+	
