gene	contig	start	end	strand	overlaps
flhb	NZ_CP043427.1	290682	291749	+	
motb	NZ_CP043427.1	291755	292465	-	
mota	NZ_CP043427.1	292474	293244	-	
flin	NZ_CP043427.1	308077	308400	+	
flir	NZ_CP043427.1	488617	489390	+	
fliy	NZ_CP043427.1	555132	555974	-	flim
flim	NZ_CP043427.1	555971	557080	-	fliy
flip	NZ_CP043427.1	755486	756217	+	
flha	NZ_CP043427.1	969342	971441	+	
flis	NZ_CP043427.1	1045762	1046142	-	
flid	NZ_CP043427.1	1046156	1048030	-	
flgn	NZ_CP043427.1	1051167	1051598	+	
flgk	NZ_CP043427.1	1051600	1053456	+	
flga	NZ_CP043427.1	1120533	1121405	+	
flil	NZ_CP043427.1	1135151	1135693	+	
flgb	NZ_CP043427.1	1145140	1145577	+	
flgc	NZ_CP043427.1	1145587	1146081	+	
flie	NZ_CP043427.1	1146088	1146381	+	
flgh	NZ_CP043427.1	1173741	1174442	-	
flgg	NZ_CP043427.1	1306135	1306923	-	
flih	NZ_CP043427.1	1399538	1400368	-	flig
flig	NZ_CP043427.1	1400365	1401393	-	flih
flif	NZ_CP043427.1	1401393	1403114	-	
flge	NZ_CP043427.1	1428478	1430754	-	
fliq	NZ_CP043427.1	1487838	1488104	+	
