gene	contig	start	end	strand	overlaps
flga	NZ_BDME01000006.1	30688	31290	-	
flhb	NZ_BDME01000002.1	67881	68930	+	
flgk	NZ_BDME01000002.1	75748	77946	-	
flha	NZ_BDME01000006.1	92046	94217	+	
flgb	NZ_BDME01000001.1	98273	98680	+	
flgc	NZ_BDME01000001.1	98694	99191	+	
flie	NZ_BDME01000001.1	99202	99495	+	
flir	NZ_BDME01000002.1	168462	169229	+	
flin	NZ_BDME01000002.1	210497	210802	+	
fliq	NZ_BDME01000001.1	241725	241994	-	
flgl	NZ_BDME01000002.1	300272	302860	+	
flim	NZ_BDME01000002.1	312246	313331	+	fliy
fliy	NZ_BDME01000002.1	313324	314127	+	flim
flgg	NZ_BDME01000002.1	362709	363497	-	
flgf	NZ_BDME01000002.1	363546	364331	-	
flid	NZ_BDME01000001.1	460776	462479	+	
flis	NZ_BDME01000001.1	462490	462864	+	
flip	NZ_BDME01000001.1	601711	602436	+	
flif	NZ_BDME01000001.1	731577	733256	+	
flig	NZ_BDME01000001.1	733257	734282	+	flih
flih	NZ_BDME01000001.1	734275	735054	+	flig
flil	NZ_BDME01000001.1	810094	810618	-	
