gene	contig	start	end	strand	overlaps
flil	NZ_AFRZ01000001.1	171650	172204	+	
flgh	NZ_AFRZ01000001.1	371119	371841	-	
flha	NZ_AFRZ01000001.1	392955	395033	+	
flih	NZ_AFRZ01000001.1	780057	780836	-	
flig	NZ_AFRZ01000001.1	780846	781871	-	
flif	NZ_AFRZ01000001.1	781871	783583	-	
flgb	NZ_AFRZ01000001.1	920795	921226	+	
flgc	NZ_AFRZ01000001.1	921236	921727	+	
flie	NZ_AFRZ01000001.1	921742	922050	+	
flis	NZ_AFRZ01000001.1	1048411	1048785	-	
flid	NZ_AFRZ01000001.1	1048876	1050252	-	
flge	NZ_AFRZ01000001.1	1309432	1311549	+	
fliq	NZ_AFRZ01000001.1	1387862	1388128	-	
flir	NZ_AFRZ01000001.1	1729638	1730405	+	
flgk	NZ_AFRZ01000001.1	1950793	1952673	+	
flhb	NZ_AFRZ01000001.1	2205470	2206519	+	
flim	NZ_AFRZ01000001.1	2227535	2228632	+	fliy
fliy	NZ_AFRZ01000001.1	2228625	2229491	+	flim
flin	NZ_AFRZ01000001.1	2625786	2626127	-	
flga	NZ_AFRZ01000001.1	2679887	2680756	-	
flgg	NZ_AFRZ01000001.1	2780480	2781268	-	
flip	NZ_AFRZ01000001.1	2860907	2861641	-	
