gene	contig	start	end	strand	overlaps
flik	NZ_CP031219.1	1746925	1749123	+	
flip	NZ_CP031219.1	1751726	1752454	+	
flha	NZ_CP031219.1	2231078	2233192	-	
flgl	NZ_CP031219.1	2233205	2234350	-	
flhb	NZ_CP031219.1	2237653	2238705	-	
flgc	NZ_CP031219.1	2241988	2242449	-	
flie	NZ_CP031219.1	2242462	2242764	-	
flig	NZ_CP031219.1	2257149	2258156	-	flif
flif	NZ_CP031219.1	2258153	2259895	-	flig
flgb	NZ_CP031219.1	2259911	2260315	-	
flgg	NZ_CP031219.1	2262623	2263411	+	
flis	NZ_CP031219.1	2535995	2536351	-	
flid	NZ_CP031219.1	2536464	2537822	-	
flim	NZ_CP031219.1	2544935	2546032	+	
