gene	contig	start	end	strand	overlaps
flgg	NZ_AP027370.1	1513	2301	+	
flis	NZ_AP027370.1	322626	322997	-	
flgk	NZ_AP027370.1	326688	328490	+	
flgh	NZ_AP027370.1	334666	335370	+	
flil	NZ_AP027370.1	458643	459182	+	
flgl	NZ_AP027370.1	494053	495789	-	
flga	NZ_AP027370.1	496759	497391	+	
flip	NZ_AP027370.1	523324	524058	-	
flha	NZ_AP027370.1	555188	557263	+	
flin	NZ_AP027370.1	626104	626418	+	
fliy	NZ_AP027370.1	838861	839730	-	flim
flim	NZ_AP027370.1	839723	840802	-	fliy
flhb	NZ_AP027370.1	860796	861851	-	
flih	NZ_AP027370.1	891521	892321	-	
flig	NZ_AP027370.1	892323	893303	-	
flif	NZ_AP027370.1	893351	895060	-	
flir	NZ_AP027370.1	1035381	1036148	-	
flid	NZ_AP027370.1	1155129	1156517	-	
fliq	NZ_AP027370.1	1166234	1166500	+	
flid	NZ_AP027370.1	1266146	1267534	-	
fliq	NZ_AP027370.1	1277251	1277517	+	
flik	NZ_AP027370.1	1385215	1386783	-	
flie	NZ_AP027370.1	1598098	1598400	-	
flgc	NZ_AP027370.1	1598411	1598905	-	
flgb	NZ_AP027370.1	1598915	1599337	-	
