gene	contig	start	end	strand	overlaps
flin	NZ_CP007051.1	83569	84447	-	
flim	NZ_CP007051.1	84458	85426	-	
flha	NZ_CP007051.1	843979	846048	+	
flgg	NZ_CP007051.1	867614	868402	+	flga
flga	NZ_CP007051.1	868341	869258	+	flgg
flgb	NZ_CP007051.1	1401420	1401809	+	
flgc	NZ_CP007051.1	1401813	1402217	+	
flie	NZ_CP007051.1	1402259	1402549	+	
flif	NZ_CP007051.1	1402612	1404219	+	
flig	NZ_CP007051.1	1404229	1405257	+	
flgk	NZ_CP007051.1	1568358	1570106	+	
flis	NZ_CP007051.1	1710560	1710937	-	
flid	NZ_CP007051.1	1711347	1712702	-	
flhb	NZ_CP007051.1	1712735	1713796	-	
flir	NZ_CP007051.1	1713796	1714581	-	fliq
fliq	NZ_CP007051.1	1714578	1714847	-	flir
flip	NZ_CP007051.1	1714857	1715609	-	flio
flio	NZ_CP007051.1	1715593	1715916	-	flip
