gene	contig	start	end	strand	overlaps
flim	NZ_CP053839.1	233131	234246	-	
flid	NZ_CP053839.1	241398	242741	+	
flis	NZ_CP053839.1	242819	243175	+	
motb	NZ_CP053839.1	453262	454011	-	
mota	NZ_CP053839.1	454025	454777	-	
flip	NZ_CP053839.1	1401336	1402064	+	
flha	NZ_CP053839.1	1842348	1844459	-	
flhb	NZ_CP053839.1	1848937	1849986	-	
flgc	NZ_CP053839.1	1852617	1853084	-	
flie	NZ_CP053839.1	1853100	1853423	-	
flig	NZ_CP053839.1	1866291	1867301	-	
flif	NZ_CP053839.1	1867311	1869026	-	
flgb	NZ_CP053839.1	1869039	1869434	-	
flgg	NZ_CP053839.1	1871591	1872379	+	
