gene	contig	start	end	strand	overlaps
flgh	NZ_KI669455.1	114937	115749	+	
flgn	NZ_KI669455.1	133077	133514	+	
flgk	NZ_KI669455.1	133518	135347	+	
flge	NZ_KI669455.1	369890	372055	-	
flgb	NZ_KI669455.1	433066	433515	+	
flgc	NZ_KI669455.1	433551	434045	+	
flie	NZ_KI669455.1	434107	434409	+	
flis	NZ_KI669454.1	502999	503376	-	
flid	NZ_KI669454.1	503410	505437	-	
flha	NZ_KI669454.1	571968	574187	-	
flgg	NZ_KI669454.1	599711	600499	-	
motb	NZ_KI669454.1	655658	656467	-	
mota	NZ_KI669454.1	656528	657298	-	
flip	NZ_KI669454.1	751819	752550	-	
flif	NZ_KI669454.1	775341	777035	+	
flig	NZ_KI669454.1	777134	778162	+	flih
flih	NZ_KI669454.1	778143	778925	+	flig
flir	NZ_KI669454.1	836912	837688	+	
fliq	NZ_KI669454.1	865821	866087	+	
flik	NZ_KI669454.1	1000200	1002578	+	
flgl	NZ_KI669454.1	1015266	1017809	-	
flin	NZ_KI669454.1	1058781	1059146	+	
flga	NZ_KI669454.1	1177558	1178337	+	
flhb	NZ_KI669454.1	1247322	1248407	+	
flim	NZ_KI669454.1	1285291	1286361	+	
fliy	NZ_KI669454.1	1286491	1287321	+	
