gene	contig	start	end	strand	overlaps
flik	NZ_CP018793.1	149517	151202	+	
flhb	NZ_CP018793.1	259191	260267	+	
flim	NZ_CP018793.1	299267	300364	+	fliy
fliy	NZ_CP018793.1	300357	301184	+	flim
flgn	NZ_CP018793.1	396188	396634	+	
flgk	NZ_CP018793.1	396636	398492	+	
flgg	NZ_CP018793.1	515963	516751	+	
flis	NZ_CP018793.1	580812	581225	-	flid
flid	NZ_CP018793.1	581212	583080	-	flis
flie	NZ_CP018793.1	640119	640409	-	
flgc	NZ_CP018793.1	640413	640907	-	
flgb	NZ_CP018793.1	640918	641358	-	
flga	NZ_CP018793.1	651583	652155	-	
flil	NZ_CP018793.1	798762	799271	-	
flip	NZ_CP018793.1	823582	824307	-	
flha	NZ_CP018793.1	838619	840790	-	
flgh	NZ_CP018793.1	1123911	1124624	-	
flin	NZ_CP018793.1	1204078	1204383	+	
flir	NZ_CP018793.1	1227515	1228288	+	
flih	NZ_CP018793.1	1265507	1266328	-	flig
flig	NZ_CP018793.1	1266325	1267350	-	flih
flif	NZ_CP018793.1	1267350	1269056	-	
motb	NZ_CP018793.1	1331556	1332272	-	
mota	NZ_CP018793.1	1332281	1333051	-	
fliq	NZ_CP018793.1	1508641	1508907	-	
