gene	contig	start	end	strand	overlaps
flif	NZ_CP007201.1	281505	283235	+	flig
flig	NZ_CP007201.1	283232	284260	+	flif
flih	NZ_CP007201.1	284265	285068	+	
flhb	NZ_CP007201.1	303897	304955	+	
flim	NZ_CP007201.1	365772	366830	+	
fliy	NZ_CP007201.1	366834	367697	+	
flir	NZ_CP007201.1	547141	547941	+	
flin	NZ_CP007201.1	678816	679127	-	
flil	NZ_CP007201.1	1092709	1093245	-	
motb	NZ_CP007201.1	1315095	1315895	-	
mota	NZ_CP007201.1	1315907	1316683	-	
flis	NZ_CP007201.1	1341294	1341671	-	
flid	NZ_CP007201.1	1341689	1343389	-	
flgk	NZ_CP007201.1	1346928	1348775	+	
flip	NZ_CP007201.1	1364502	1365212	+	
flgh	NZ_CP007201.1	1444932	1445636	+	
flgl	NZ_CP007201.1	1543061	1545460	+	
flga	NZ_CP007201.1	1608427	1609164	-	
flha	NZ_CP007201.1	1852521	1854713	+	
flgg	NZ_CP007201.1	2116213	2117001	-	
flie	NZ_CP007201.1	2233794	2234090	-	
flgc	NZ_CP007201.1	2234096	2234590	-	
flgb	NZ_CP007201.1	2234600	2235034	-	
fliq	NZ_CP007201.1	3082251	3082517	+	
flik	NZ_CP007201.1	3167806	3169347	+	
flge	NZ_CP007201.1	3171852	3174587	+	
