species_tip,gene_tip
Campylobacter vicugnae,GCF_002139875_1_ASM213987v1_WP_086255871.1
Campylobacter devanensis,GCF_002139915_1_ASM213991v1_WP_086224074.1
Campylobacter porcelli,GCF_002139855_1_ASM213985v1_WP_086238103.1
Campylobacter lanienae,GCF_002139935_1_ASM213993v1_WP_170000563.1
Campylobacter iguaniorum,GCF_000736415_1_ASM73641v1_WP_038453378.1
Campylobacter fetus,GCF_900475935_1_48450_H02_WP_024305270.1
Campylobacter hyointestinalis,GCF_013372145_1_ASM1337214v1_WP_034962250.1
Campylobacter magnus,GCF_028649595_1_ASM2864959v1_WP_273933084.1
Campylobacter sputorum,GCF_008245005_1_ASM824500v1_WP_089182642.1
Campylobacter concisus,GCF_001298465_1_ASM129846v1_WP_054196706.1
Campylobacter curvus,GCF_013372125_1_ASM1337212v1_WP_407644587.1
Campylobacter anatolicus,GCF_018145655_1_ASM1814565v1_WP_212141067.1
Campylobacter majalis,GCF_905120465_1_LMG_7974_WP_229932433.1
Campylobacter pinnipediorum,GCF_002021925_1_ASM202192v1_WP_078440737.1
Campylobacter mucosalis,GCF_013372205_1_ASM1337220v1_WP_034967177.1
Campylobacter gastrosuis,GCF_030249845_1_ASM3024984v1_WP_284937018.1
Campylobacter suis,GCF_905120475_1_LMG_8286_WP_418884443.1
Campylobacter showae,GCF_004803815_1_ASM480381v1_WP_039895253.1
Campylobacter rectus,GCF_004803795_1_ASM480379v1_WP_002945091.1
Campylobacter massiliensis,GCF_014253065_1_ASM1425306v1_WP_185898961.1
Campylobacter ornithocola,GCF_013201605_1_ASM1320160v1_WP_066007082.1
Campylobacter subantarcticus,GCF_000816305_1_ASM81630v1_WP_043019469.1
Campylobacter lari,GCF_013372185_1_ASM1337218v1_WP_012661141.1
Campylobacter armoricus,GCF_013372105_1_ASM1337210v1_WP_139424591.1
Campylobacter peloridis,GCF_000816785_1_ASM81678v1_WP_044598415.1
Campylobacter insulaenigrae,GCF_000816185_1_ASM81618v1_WP_039649393.1
Campylobacter volucris,GCF_008245045_1_ASM824504v1_WP_039665213.1
Campylobacter aviculae,GCF_005406215_1_ASM540621v1_WP_137622922.1
Campylobacter taeniopygiae,GCF_005406225_1_ASM540622v1_WP_137624502.1
Campylobacter coli,GCF_000254135_1_ASM25413v2_WP_002831996.1
Campylobacter hepaticus,GCF_001687475_2_ASM168747v2_WP_066777645.1
