gene	contig	start	end	strand	overlaps
flgb	NZ_CP040463.1	265993	266421	+	
flgc	NZ_CP040463.1	266431	266928	+	
flie	NZ_CP040463.1	266938	267234	+	
flgk	NZ_CP040463.1	471434	473587	-	
flir	NZ_CP040463.1	575710	576474	+	
flgg	NZ_CP040463.1	652608	653396	-	
flgl	NZ_CP040463.1	692187	694766	+	
flim	NZ_CP040463.1	703920	704990	+	fliy
fliy	NZ_CP040463.1	704983	705792	+	flim
flif	NZ_CP040463.1	815496	817175	+	
flig	NZ_CP040463.1	817186	818211	+	
flil	NZ_CP040463.1	1044658	1045179	-	
flha	NZ_CP040463.1	1200330	1202507	-	
flga	NZ_CP040463.1	1256029	1256502	+	
flip	NZ_CP040463.1	1400515	1401246	-	
flin	NZ_CP040463.1	1441887	1442192	-	
flis	NZ_CP040463.1	1501030	1501401	-	
flid	NZ_CP040463.1	1501414	1503120	-	
flhb	NZ_CP040463.1	1619540	1620595	-	
