gene	contig	start	end	strand	overlaps
fliq	NC_017735.1	136262	136528	-	
flin	NC_017735.1	274108	274476	+	
flil	NC_017735.1	303473	304024	-	
flge	NC_017735.1	360463	362619	-	
flih	NC_017735.1	431393	432169	-	flig
flig	NC_017735.1	432162	433193	-	flih
flif	NC_017735.1	433197	434900	-	
flgh	NC_017735.1	449487	450191	-	
flir	NC_017735.1	657312	658079	+	
flgb	NC_017735.1	799553	799975	+	
flgc	NC_017735.1	799990	800475	+	
flie	NC_017735.1	800586	800915	+	
flga	NC_017735.1	900007	900663	-	
flha	NC_017735.1	1062127	1064331	+	
flip	NC_017735.1	1089902	1090666	-	
motb	NC_017735.1	1233082	1233849	-	
mota	NC_017735.1	1233852	1234625	-	
fliy	NC_017735.1	1306649	1307521	-	
flim	NC_017735.1	1307525	1308589	-	
flik	NC_017735.1	1409429	1410940	+	
flis	NC_017735.1	1466012	1466392	-	
flid	NC_017735.1	1466454	1468511	-	
flhb	NC_017735.1	1477887	1478963	+	
flgl	NC_017735.1	1528339	1530807	+	
flgk	NC_017735.1	1548820	1550640	-	
flgg	NC_017735.1	1826679	1827467	+	
