gene	contig	start	end	strand	overlaps
flge	NZ_CP020478.1	30627	33146	+	
fliq	NZ_CP020478.1	89833	90102	-	
flil	NZ_CP020478.1	143447	143983	-	
flgk	NZ_CP020478.1	162228	164054	+	
mota	NZ_CP020478.1	370090	370866	+	
motb	NZ_CP020478.1	370869	371603	+	
flga	NZ_CP020478.1	386296	386958	+	
flir	NZ_CP020478.1	448305	449072	+	
flgp	NZ_CP020478.1	518387	518911	+	
flif	NZ_CP020478.1	566049	567731	+	
flig	NZ_CP020478.1	567731	568759	+	
flih	NZ_CP020478.1	568767	569585	+	
flhb	NZ_CP020478.1	580667	581737	+	
flgh	NZ_CP020478.1	791175	791873	+	
flgb	NZ_CP020478.1	838239	838670	+	
flgc	NZ_CP020478.1	838680	839174	+	
flie	NZ_CP020478.1	839181	839477	+	
flip	NZ_CP020478.1	848957	849691	-	
flha	NZ_CP020478.1	869752	871932	-	
flin	NZ_CP020478.1	1043109	1043423	+	
flgl	NZ_CP020478.1	1092210	1094459	+	
fliy	NZ_CP020478.1	1193451	1194296	-	flim
flim	NZ_CP020478.1	1194293	1195375	-	fliy
flid	NZ_CP020478.1	1415193	1417130	+	
flis	NZ_CP020478.1	1417140	1417520	+	
flgg	NZ_CP020478.1	1554376	1555167	+	
