query	grouping_confidence	location_confidence	orientation_confidence
NZ_QPGR01000002.1	1.0	0.10738049093461954	1.0
NZ_QPGR01000028.1	1.0	1.0	1.0
NZ_QPGR01000020.1	1.0	1.0	1.0
NZ_QPGR01000038.1	1.0	1.0	1.0
NZ_QPGR01000039.1	1.0	1.0	1.0
NZ_QPGR01000034.1	1.0	1.0	1.0
NZ_QPGR01000019.1	1.0	1.0	1.0
NZ_QPGR01000006.1	1.0	1.0	1.0
NZ_QPGR01000029.1	1.0	1.0	1.0
NZ_QPGR01000037.1	1.0	1.0	1.0
NZ_QPGR01000025.1	1.0	1.0	1.0
NZ_QPGR01000027.1	1.0	1.0	1.0
NZ_QPGR01000008.1	1.0	1.0	1.0
NZ_QPGR01000030.1	1.0	1.0	1.0
NZ_QPGR01000004.1	1.0	1.0	1.0
NZ_QPGR01000005.1	1.0	0.15966763678501217	0.9895752490823283
NZ_QPGR01000021.1	1.0	1.0	1.0
NZ_QPGR01000018.1	1.0	1.0	1.0
NZ_QPGR01000001.1	1.0	0.3898770246635645	0.8234869248127933
NZ_QPGR01000032.1	1.0	1.0	1.0
NZ_QPGR01000016.1	1.0	1.0	1.0
NZ_QPGR01000040.1	1.0	1.0	1.0
NZ_QPGR01000010.1	1.0	1.0	1.0
NZ_QPGR01000007.1	1.0	1.0	1.0
NZ_QPGR01000014.1	1.0	0.15005736503282555	1.0
NZ_QPGR01000009.1	1.0	0.20239999745560833	0.9963543794588139
NZ_QPGR01000012.1	1.0	0.14114698800437395	0.997913486988273
NZ_QPGR01000048.1	1.0	1.0	1.0
NZ_QPGR01000017.1	1.0	1.0	1.0
NZ_QPGR01000011.1	1.0	1.0	1.0
NZ_QPGR01000036.1	1.0	1.0	1.0
NZ_QPGR01000024.1	1.0	1.0	1.0
NZ_QPGR01000003.1	1.0	1.0	1.0
NZ_QPGR01000031.1	1.0	1.0	1.0
NZ_QPGR01000023.1	1.0	1.0	1.0
NZ_QPGR01000015.1	1.0	1.0	1.0
