gene	contig	start	end	strand	overlaps
flge	NZ_CP012546.1	149632	152223	+	
fliq	NZ_CP012546.1	200777	201046	+	
flil	NZ_CP012546.1	370391	370915	-	
flik	NZ_CP012546.1	380393	381793	-	
flir	NZ_CP012546.1	505508	506269	+	
flgg	NZ_CP012546.1	562226	563014	-	
flgb	NZ_CP012546.1	618509	618943	+	
flgc	NZ_CP012546.1	618954	619451	+	
flie	NZ_CP012546.1	619451	619741	+	
flga	NZ_CP012546.1	704456	705262	-	
flgh	NZ_CP012546.1	809129	809833	+	
flip	NZ_CP012546.1	1088925	1089656	-	
flha	NZ_CP012546.1	1113141	1115309	+	
flis	NZ_CP012546.1	1126342	1126722	-	
flid	NZ_CP012546.1	1126731	1128578	-	
flgk	NZ_CP012546.1	1136931	1138805	+	
flim	NZ_CP012546.1	1214807	1215904	+	fliy
fliy	NZ_CP012546.1	1215894	1216745	+	flim
flin	NZ_CP012546.1	1398604	1398924	-	
flih	NZ_CP012546.1	1541169	1541993	-	
flig	NZ_CP012546.1	1541993	1543024	-	
flif	NZ_CP012546.1	1543025	1544722	-	
flhb	NZ_CP012546.1	1750396	1751472	+	
