gene	contig	start	end	strand	overlaps
flhb	NZ_CP014991.1	22094	23218	-	
flim	NZ_CP014991.1	72893	73957	+	
fliy	NZ_CP014991.1	73963	74793	+	
flid	NZ_CP014991.1	79283	81337	+	
flis	NZ_CP014991.1	81347	81736	+	
flga	NZ_CP014991.1	173398	174321	+	
flgg	NZ_CP014991.1	324326	325114	-	
flil	NZ_CP014991.1	369176	369733	+	
flie	NZ_CP014991.1	461443	461766	-	
flgc	NZ_CP014991.1	461797	462291	-	
flgb	NZ_CP014991.1	462307	462744	-	
fliq	NZ_CP014991.1	496707	496973	+	
flif	NZ_CP014991.1	748103	749812	+	
flig	NZ_CP014991.1	749822	750853	+	flih
flih	NZ_CP014991.1	750840	751646	+	flig
flgl	NZ_CP014991.1	1025118	1027682	+	
flin	NZ_CP014991.1	1066642	1066995	-	
flgh	NZ_CP014991.1	1320743	1321456	-	
flge	NZ_CP014991.1	1408147	1410300	+	
flha	NZ_CP014991.1	1421266	1423491	-	
flir	NZ_CP014991.1	1493016	1493786	-	
flgk	NZ_CP014991.1	1593678	1595498	-	
flip	NZ_CP014991.1	1624277	1625164	+	
flik	NZ_CP014991.1	1632957	1634471	+	
motb	NZ_CP014991.1	1666001	1666750	-	
mota	NZ_CP014991.1	1666760	1667530	-	
