gene	contig	start	end	strand	overlaps
flim	NZ_CP030944.1	273783	274880	-	
flgk	NZ_CP030944.1	280057	281970	+	
flid	NZ_CP030944.1	281981	283327	+	
flis	NZ_CP030944.1	283428	283784	+	
flip	NZ_CP030944.1	1107211	1107939	-	
flha	NZ_CP030944.1	2067488	2069599	-	
flgl	NZ_CP030944.1	2069623	2070768	-	
flhb	NZ_CP030944.1	2074067	2075116	-	
flgc	NZ_CP030944.1	2077928	2078392	-	
flie	NZ_CP030944.1	2078406	2078699	-	
flig	NZ_CP030944.1	2092785	2093795	-	
flif	NZ_CP030944.1	2093808	2095526	-	
flgb	NZ_CP030944.1	2095543	2095947	-	
flgg	NZ_CP030944.1	2098181	2098966	+	
