gene	contig	start	end	strand	overlaps
flge	NC_007575.1	37633	39789	+	
flid	NC_007575.1	207399	208787	-	
flis	NC_007575.1	208961	209323	+	
flie	NC_007575.1	365154	365453	-	
flgc	NC_007575.1	365469	365963	-	
flgb	NC_007575.1	365974	366405	-	
flif	NC_007575.1	474830	476530	+	
flig	NC_007575.1	476549	477577	+	
flih	NC_007575.1	477579	478373	+	
flgk	NC_007575.1	567643	569529	+	
flhb	NC_007575.1	683042	684094	+	
flim	NC_007575.1	720877	721995	+	
fliy	NC_007575.1	721999	722850	+	
flha	NC_007575.1	746536	748707	-	
flgh	NC_007575.1	754138	754860	+	
flil	NC_007575.1	870468	871031	-	
flip	NC_007575.1	1070455	1071195	+	
flgg	NC_007575.1	1159873	1160661	-	
flga	NC_007575.1	1176719	1177588	+	
flin	NC_007575.1	1222365	1222700	+	
flir	NC_007575.1	1880068	1880832	-	
fliq	NC_007575.1	2087624	2087890	+	
