gene_tip,organism,protein_id
GCF_000183725_1_ASM18372v1_WP_013458920.1,Sulfuricurvum kujiense,WP_013458920.1
GCF_014905095_1_ASM1490509v1_WP_193113669.1,Sulfurimonas marina,WP_193113669.1
GCF_009192995_1_ASM919299v1_WP_152183140.1,Sulfurimonas indica,WP_152183140.1
GCF_014905135_1_ASM1490513v1_WP_193110964.1,Sulfurimonas paralvinellae,WP_193110964.1
GCF_009258225_1_ASM925822v1_WP_152308301.1,Sulfurimonas lithotrophica,WP_152308301.1
GCF_000147355_1_ASM14735v1_WP_013325845.1,Sulfurimonas autotrophica,WP_013325845.1
GCF_009068765_1_ASM906876v1_WP_151901432.1,Sulfurimonas hydrogeniphila,WP_151901432.1
GCF_014905115_1_ASM1490511v1_WP_193150818.1,Sulfurimonas sediminis,WP_193150818.1
GCF_015265455_1_ASM1526545v1_WP_194369923.1,Sulfurimonas baltica,WP_194369923.1
GCF_015265475_1_ASM1526547v1_WP_194366746.1,Sulfurimonas marisnigri,WP_194366746.1
GCF_000012965_1_ASM1296v1_WP_011371665.1,Sulfurimonas denitrificans,WP_011371665.1
GCF_005217605_1_ASM521760v1_WP_137011165.1,Sulfurimonas crateris,WP_137011165.1
GCF_000242915_1_ASM24291v2_WP_008335098.1,Sulfurimonas gotlandica,WP_008335098.1
GCF_000445475_1_Version_1_of_the_Sulfurimonas_hongkongensis_AST-10_genome_WP_021286768.1,Sulfurimonas hongkongensis,WP_021286768.1
GCF_017357825_1_ASM1735782v1_WP_207561897.1,Sulfurimonas aquatica,WP_207561897.1
GCF_002104335_1_ASM210433v1_WP_085296679.1,Campylobacter cuniculorum,WP_085296679.1
GCF_004323845_1_ASM432384v1_WP_131186432.1,Campylobacter novaezeelandiae,WP_131186432.1
GCF_002080395_1_ASM208039v1_WP_082200622.1,Campylobacter helveticus,WP_082200622.1
GCF_900637395_1_50648_G01_WP_027304381.1,Campylobacter upsaliensis,WP_027304381.1
GCF_005406215_1_ASM540621v1_WP_137622869.1,Campylobacter aviculae,WP_137622869.1
GCF_005406225_1_ASM540622v1_WP_137623173.1,Campylobacter taeniopygiae,WP_137623173.1
GCF_000254135_1_ASM25413v2_WP_072233346.1,Campylobacter coli,WP_072233346.1
GCF_001457695_1_NCTC11351_WP_079263895.1,Campylobacter jejuni,WP_079263895.1
GCF_016806695_1_ASM1680669v1_WP_158333957.1,Campylobacter bilis,WP_158333957.1
GCF_001687475_2_ASM168747v2_WP_066778401.1,Campylobacter hepaticus,WP_066778401.1
GCF_002238335_1_ASM223833v1_WP_094324531.1,Campylobacter avium,WP_094324531.1
GCF_006864425_1_ASM686442v1_WP_142693949.1,Campylobacter troglodytis,WP_142693949.1
GCF_000816785_1_ASM81678v1_WP_049984609.1,Campylobacter peloridis,WP_049984609.1
GCF_013201605_1_ASM1320160v1_WP_066006352.1,Campylobacter ornithocola,WP_066006352.1
GCF_013372105_1_ASM1337210v1_WP_139426485.1,Campylobacter armoricus,WP_139426485.1
GCF_013372185_1_ASM1337218v1_WP_074692938.1,Campylobacter lari,WP_074692938.1
GCF_000816305_1_ASM81630v1_WP_052243698.1,Campylobacter subantarcticus,WP_052243698.1
GCF_008245045_1_ASM824504v1_WP_039666165.1,Campylobacter volucris,WP_039666165.1
GCF_000816185_1_ASM81618v1_WP_039651147.1,Campylobacter insulaenigrae,WP_039651147.1
GCF_013177655_1_ASM1317765v1_WP_172231610.1,Campylobacter canadensis,WP_172231610.1
GCF_016937535_1_ASM1693753v1_WP_205458654.1,Sulfurospirillum tamanense,WP_205458654.1
GCF_000597725_1_ASM59772v1_WP_024954446.1,Sulfurospirillum arcachonense,WP_024954446.1
GCF_000813325_1_ASM81332v1_WP_041962774.1,Sulfurospirillum cavolei,WP_041962774.1
GCF_000024885_1_ASM2488v1_WP_012858044.1,Sulfurospirillum deleyianum,WP_012858044.1
GCF_000265295_1_ASM26529v1_WP_014770685.1,Sulfurospirillum barnesii,WP_014770685.1
GCF_000568815_1_ASM56881v1_WP_025346330.1,Sulfurospirillum multivorans,WP_025346330.1
GCF_001723605_1_ASM172360v1_WP_238585259.1,Sulfurospirillum halorespirans,WP_238585259.1
GCF_025770725_1_ASM2577072v1_WP_263832447.1,Sulfurospirillum oryzae,WP_263832447.1
GCF_011769985_2_ASM1176998v3_WP_228448574.1,Sulfurospirillum diekertiae,WP_228448574.1
GCF_011769985_2_ASM1176998v3_WP_228448573.1,Sulfurospirillum diekertiae,WP_228448573.1
GCF_008245005_1_ASM824500v1_WP_089181878.1,Campylobacter sputorum,WP_089181878.1
GCF_002139915_1_ASM213991v1_WP_086302004.1,Campylobacter devanensis,WP_086302004.1
GCF_002139875_1_ASM213987v1_WP_086303014.1,Campylobacter vicugnae,WP_086303014.1
GCF_002139935_1_ASM213993v1_WP_100590958.1,Campylobacter lanienae,WP_100590958.1
GCF_000736415_1_ASM73641v1_WP_038452437.1,Campylobacter iguaniorum,WP_038452437.1
GCF_900475935_1_48450_H02_WP_065843868.1,Campylobacter fetus,WP_065843868.1
GCF_013372145_1_ASM1337214v1_WP_051663766.1,Campylobacter hyointestinalis,WP_051663766.1
GCF_028649595_1_ASM2864959v1_WP_273932858.1,Campylobacter magnus,WP_273932858.1
GCF_004803795_1_ASM480379v1_WP_039887930.1,Campylobacter rectus,WP_039887930.1
GCF_004803815_1_ASM480381v1_WP_004321645.1,Campylobacter showae,WP_004321645.1
GCF_014253065_1_ASM1425306v1_WP_185898239.1,Campylobacter massiliensis,WP_185898239.1
GCF_002021925_1_ASM202192v1_WP_078440483.1,Campylobacter pinnipediorum,WP_078440483.1
GCF_018145655_1_ASM1814565v1_WP_212143387.1,Campylobacter anatolicus,WP_212143387.1
GCF_001298465_1_ASM129846v1_WP_054195860.1,Campylobacter concisus,WP_054195860.1
GCF_013372125_1_ASM1337212v1_WP_018137248.1,Campylobacter curvus,WP_018137248.1
GCF_905120475_1_LMG_8286_WP_230056910.1,Campylobacter suis,WP_230056910.1
GCF_905120465_1_LMG_7974_WP_229933244.1,Campylobacter majalis,WP_229933244.1
GCF_013372205_1_ASM1337220v1_WP_034970389.1,Campylobacter mucosalis,WP_034970389.1
GCF_030249845_1_ASM3024984v1_WP_284938510.1,Campylobacter gastrosuis,WP_284938510.1
GCF_000816185_1_ASM81618v1_WP_039651145.1,Campylobacter insulaenigrae,WP_039651145.1
GCF_000816305_1_ASM81630v1_WP_039664678.1,Campylobacter subantarcticus,WP_039664678.1
GCF_013201605_1_ASM1320160v1_WP_066006354.1,Campylobacter ornithocola,WP_066006354.1
GCF_013372105_1_ASM1337210v1_WP_139426483.1,Campylobacter armoricus,WP_139426483.1
GCF_013372185_1_ASM1337218v1_WP_070257340.1,Campylobacter lari,WP_070257340.1
GCF_000816785_1_ASM81678v1_WP_044599408.1,Campylobacter peloridis,WP_044599408.1
GCF_008245045_1_ASM824504v1_WP_039666164.1,Campylobacter volucris,WP_039666164.1
GCF_006864425_1_ASM686442v1_WP_142693950.1,Campylobacter troglodytis,WP_142693950.1
GCF_002238335_1_ASM223833v1_WP_094324532.1,Campylobacter avium,WP_094324532.1
GCF_002080395_1_ASM208039v1_WP_082200621.1,Campylobacter helveticus,WP_082200621.1
GCF_900637395_1_50648_G01_WP_027304380.1,Campylobacter upsaliensis,WP_027304380.1
GCF_005406215_1_ASM540621v1_WP_137622870.1,Campylobacter aviculae,WP_137622870.1
GCF_005406225_1_ASM540622v1_WP_137623174.1,Campylobacter taeniopygiae,WP_137623174.1
GCF_016806695_1_ASM1680669v1_WP_158333958.1,Campylobacter bilis,WP_158333958.1
GCF_000254135_1_ASM25413v2_WP_002782892.1,Campylobacter coli,WP_002782892.1
GCF_001457695_1_NCTC11351_WP_002782892.1,Campylobacter jejuni,WP_002782892.1
GCF_001687475_2_ASM168747v2_WP_066778398.1,Campylobacter hepaticus,WP_066778398.1
GCF_002104335_1_ASM210433v1_WP_027305783.1,Campylobacter cuniculorum,WP_027305783.1
GCF_004323845_1_ASM432384v1_WP_131186431.1,Campylobacter novaezeelandiae,WP_131186431.1
GCF_002021925_1_ASM202192v1_WP_069637030.1,Campylobacter pinnipediorum,WP_069637030.1
GCF_003660285_1_ASM366028v1_WP_120944247.1,Helicobacter labacensis,WP_120944247.1
GCF_026000295_1_ASM2600029v1_WP_264828462.1,Helicobacter suis,WP_264828462.1
GCF_000092245_1_ASM9224v1_WP_013136275.1,Arcobacter nitrofigilis,WP_013136275.1
GCF_003346815_1_ASM334681v1_WP_114838369.1,Halarcobacter bivalviorum,WP_114838369.1
GCF_005771535_1_ASM577153v1_WP_138153246.1,Arcobacter arenosus,WP_138153246.1
GCF_006459125_1_ASM645912v1_WP_129082090.1,Halarcobacter anaerophilus,WP_129082090.1
GCF_013201825_1_ASM1320182v1_WP_129086795.1,Halarcobacter ebronensis,WP_129086795.1
GCF_003544935_1_ASM354493v1_WP_099342025.1,Malaciobacter molluscorum,WP_099342025.1
GCF_002837275_1_ASM283727v1_WP_133121156.1,Malaciobacter halophilus,WP_133121156.1
GCF_003346775_1_ASM334677v1_WP_228197859.1,Malaciobacter mytili,WP_228197859.1
GCF_002837275_1_ASM283727v1_WP_101185779.1,Malaciobacter halophilus,WP_101185779.1
GCF_003544855_1_ASM354485v1_WP_099310398.1,Malaciobacter marinus,WP_099310398.1
GCF_004214795_1_ASM421479v1_WP_130234019.1,Malaciobacter pacificus,WP_130234019.1
GCF_013201665_1_ASM1320166v1_WP_128359658.1,Arcobacter venerupis,WP_128359658.1
GCF_003063245_1_ASM306324v1_WP_108559536.1,Arcobacter caeni,WP_108559536.1
GCF_003544815_1_ASM354481v1_WP_118887171.1,Arcobacter suis,WP_118887171.1
GCF_013177635_1_ASM1317763v1_WP_129096041.1,Arcobacter aquimarinus,WP_129096041.1
GCF_013201935_1_ASM1320193v1_WP_129013421.1,Arcobacter cloacae,WP_129013421.1
GCF_003063295_1_ASM306329v1_WP_108527533.1,Arcobacter lacus,WP_108527533.1
GCF_900187115_1_51699_F01_WP_012147855.1,Aliarcobacter butzleri,WP_012147855.1
GCF_003544915_1_ASM354491v1_WP_118918131.1,Arcobacter ellisii,WP_118918131.1
GCF_013201725_1_ASM1320172v1_WP_129011670.1,Arcobacter defluvii,WP_129011670.1
GCF_016106035_1_ASM1610603v1_WP_198305149.1,Arcobacter vandammei,WP_198305149.1
GCF_013201705_1_ASM1320170v1_WP_051487630.1,Aliarcobacter faecis,WP_051487630.1
GCF_013372265_1_ASM1337226v1_WP_024775498.1,Aliarcobacter cibarius,WP_024775498.1
GCF_003316695_1_ASM331669v1_WP_113892949.1,Aliarcobacter vitoriensis,WP_113892949.1
GCF_013201625_1_ASM1320162v1_WP_026808221.1,Aliarcobacter lanthieri,WP_026808221.1
GCF_003355515_1_ASM335551v1_WP_115428937.1,Aliarcobacter trophiarum,WP_115428937.1
GCF_003660105_1_ASM366010v1_WP_121443267.1,Aliarcobacter cryaerophilus,WP_121443267.1
GCF_003544835_1_ASM354483v1_WP_066350380.1,Aliarcobacter skirrowii,WP_066350380.1
GCF_004214815_1_ASM421481v1_WP_066185204.1,Aliarcobacter thereius,WP_066185204.1
GCF_004299785_2_ASM429978v2_WP_066387843.1,Arcobacter porcinus,WP_066387843.1
GCF_003667345_1_ASM366734v1_WP_121628052.1,Poseidonibacter antarcticus,WP_121628052.1
GCF_001956695_1_ASM195669v1_WP_076088096.1,Poseidonibacter parvus,WP_076088096.1
GCF_013283835_1_ASM1328383v1_WP_071626928.1,Poseidonibacter lekithochrous,WP_071626928.1
GCF_024267655_1_ASM2426765v1_WP_254576147.1,Arcobacter roscoffensis,WP_254576147.1
GCF_000765805_2_ASM76580v2_WP_034557572.1,Helicobacter muridarum,WP_034557572.1
GCF_000762875_2_ASM76287v2_WP_052062518.1,Helicobacter saguini,WP_052062518.1
GCF_003364195_1_ASM336419v1_WP_115543672.1,Helicobacter didelphidarum,WP_115543672.1
GCF_000686565_1_ASM68656v1_WP_004085830.1,Helicobacter bilis,WP_004085830.1
GCF_000765905_2_ASM76590v2_WP_104696524.1,Helicobacter trogontum,WP_104696524.1
GCF_000196135_1_ASM19613v1_WP_041571880.1,Wolinella succinogenes,WP_041571880.1
GCF_027859255_1_ASM2785925v1_WP_271021018.1,Helicobacter ibis,WP_271021018.1
GCF_003245365_1_ASM324536v1_WP_111228809.1,Helicobacter valdiviensis,WP_111228809.1
GCF_017979475_1_ASM1797947v1_WP_151104586.1,Helicobacter pullorum,WP_151104586.1
GCF_000162575_1_ASM16257v1_WP_006655733.1,Helicobacter canadensis,WP_006655733.1
GCF_023646285_1_ASM2364628v1_WP_250604228.1,Helicobacter colisuis,WP_250604228.1
GCF_000687535_1_ASM68753v1_WP_026943044.1,Helicobacter rodentium,WP_026943044.1
GCF_019711685_1_ASM1971168v1_WP_221561787.1,Helicobacter turcicus,WP_221561787.1
GCF_028751035_1_ASM2875103v1_WP_169302242.1,Helicobacter winghamensis,WP_169302242.1
GCF_900461455_1_57530_D01_WP_011578126.1,Helicobacter acinonychis,WP_011578126.1
GCF_000259275_1_ASM25927v1_WP_014659807.1,Helicobacter cetorum,WP_014659807.1
GCF_900478295_1_35377_D02_WP_108169048.1,Helicobacter pylori,WP_108169048.1
GCF_000200595_1_ASM20059v1_WP_013469455.1,Helicobacter felis,WP_013469455.1
GCF_017979425_1_ASM1797942v1_WP_104695152.1,Helicobacter salomonis,WP_104695152.1
GCF_003660285_1_ASM366028v1_WP_120944249.1,Helicobacter labacensis,WP_120944249.1
GCF_003660395_1_ASM366039v1_WP_121020890.1,Helicobacter vulpis,WP_121020890.1
GCF_003660265_1_ASM366026v1_WP_120955658.1,Helicobacter mehlei,WP_120955658.1
GCF_001282945_1_gastric_feline_helicobacters_WP_053944848.1,Helicobacter ailurogastricus,WP_053944848.1
GCF_001283065_1_Hheil_WP_015107578.1,Helicobacter heilmannii,WP_015107578.1
GCF_026000295_1_ASM2600029v1_WP_158650314.1,Helicobacter suis,WP_158650314.1
GCF_000518225_1_ASM51822v1_WP_027327178.1,Helicobacter pametensis,WP_027327178.1
GCF_021300655_1_ASM2130065v1_WP_233032805.1,Helicobacter kayseriensis,WP_233032805.1
GCF_001693335_1_ASM169333v1_WP_083985926.1,Helicobacter enhydrae,WP_083985926.1
GCF_003364205_1_ASM336420v1_WP_115569253.1,Helicobacter brantae,WP_115569253.1
GCF_003364215_1_ASM336421v1_WP_158653703.1,Helicobacter cholecystus,WP_158653703.1
GCF_001602095_1_ASM160209v1_WP_066389350.1,Helicobacter himalayensis,WP_066389350.1
GCF_000763135_2_ASM76313v2_WP_052058073.1,Helicobacter jaachi,WP_052058073.1
GCF_000155475_1_ASM15547v1_WP_002955436.1,Helicobacter cinaedi,WP_002955436.1
GCF_003670275_1_ASM367027v1_WP_121727040.1,Helicobacter labetoulli,WP_121727040.1
GCF_000762845_2_ASM76284v2_WP_052060958.1,Helicobacter japonicus,WP_052060958.1
GCF_003364255_1_ASM336425v1_WP_104700515.1,Helicobacter marmotae,WP_104700515.1
GCF_003364335_1_ASM336433v1_WP_115579468.1,Helicobacter anseris,WP_115579468.1
GCF_021300615_1_ASM2130061v1_WP_233076256.1,Helicobacter anatolicus,WP_233076256.1
GCF_900476215_1_51342_F02_WP_049762192.1,Helicobacter mustelae,WP_049762192.1
GCF_000507845_1_Heli_maca_MIT_99-5501_V1_WP_023927560.1,Helicobacter macacae,WP_023927560.1
GCF_008693005_1_ASM869300v1_WP_150337393.1,Helicobacter canis,WP_150337393.1
GCF_005843985_1_ASM584398v1_WP_138323028.1,Caminibacter mediatlanticus,WP_138323028.1
GCF_000021725_1_ASM2172v1_WP_015902794.1,Nautilia profundicola,WP_015902794.1
GCF_002335445_1_ASM233544v1_WP_096258963.1,Lebetimonas natsushimae,WP_096258963.1
GCF_003752135_1_ASM375213v1_WP_123352811.1,Caminibacter pacificus,WP_123352811.1
GCF_030296055_1_ASM3029605v1_WP_286336063.1,Hydrogenimonas cancrithermarum,WP_286336063.1
GCF_016593255_1_ASM1659325v1_WP_201352159.1,Hydrogenimonas urashimensis,WP_201352159.1
GCF_900115615_1_IMG-taxon_2654587899_annotated_assembly_WP_092910350.1,Hydrogenimonas thermophila,WP_092910350.1
