gene	contig	start	end	strand	overlaps
flge	NZ_CP043428.1	83485	85968	+	
fliq	NZ_CP043428.1	123762	124031	+	
flin	NZ_CP043428.1	139935	140231	+	
flim	NZ_CP043428.1	198629	199717	+	fliy
fliy	NZ_CP043428.1	199710	200558	+	flim
flil	NZ_CP043428.1	233434	233982	-	
flgk	NZ_CP043428.1	361221	363050	-	
flgh	NZ_CP043428.1	607957	608658	-	
flga	NZ_CP043428.1	704143	704811	+	
flis	NZ_CP043428.1	720912	721283	-	
flid	NZ_CP043428.1	721298	723595	-	
flgl	NZ_CP043428.1	783488	785725	-	
flha	NZ_CP043428.1	885932	888091	-	
flip	NZ_CP043428.1	919813	920547	+	
flgg	NZ_CP043428.1	951089	951883	-	
flgb	NZ_CP043428.1	999820	1000251	+	
flgc	NZ_CP043428.1	1000262	1000756	+	
flie	NZ_CP043428.1	1000767	1001057	+	
flir	NZ_CP043428.1	1024666	1025436	-	
flhb	NZ_CP043428.1	1284979	1286055	-	
motb	NZ_CP043428.1	1292791	1293525	-	
mota	NZ_CP043428.1	1293534	1294307	-	
flih	NZ_CP043428.1	1312559	1313371	-	
flig	NZ_CP043428.1	1313376	1314404	-	
flif	NZ_CP043428.1	1314404	1316089	-	
