gene	contig	start	end	strand	overlaps
flhb	NZ_CP015578.1	224986	226062	+	
flir	NZ_CP015578.1	239050	239823	-	
flih	NZ_CP015578.1	333140	333949	-	flig
flig	NZ_CP015578.1	333946	334974	-	flih,flif
flif	NZ_CP015578.1	334971	336677	-	flig
flgh	NZ_CP015578.1	369514	370221	+	
flgn	NZ_CP015578.1	461787	462233	+	
flgk	NZ_CP015578.1	462235	464091	+	
flgg	NZ_CP015578.1	575422	576210	+	
flis	NZ_CP015578.1	648351	648728	-	
flid	NZ_CP015578.1	648739	650595	-	
flie	NZ_CP015578.1	671074	671364	-	
flgc	NZ_CP015578.1	671368	671862	-	
flgb	NZ_CP015578.1	671873	672313	-	
flga	NZ_CP015578.1	682523	683074	-	
flil	NZ_CP015578.1	834555	835064	-	
flip	NZ_CP015578.1	859395	860120	-	
flha	NZ_CP015578.1	874401	876572	-	
flik	NZ_CP015578.1	932683	934569	+	
fliy	NZ_CP015578.1	1228473	1229306	-	flim
flim	NZ_CP015578.1	1229299	1230408	-	fliy
flin	NZ_CP015578.1	1313323	1313628	+	
motb	NZ_CP015578.1	1343894	1344610	-	
mota	NZ_CP015578.1	1344619	1345389	-	
flik	NZ_CP015578.1	1437253	1438833	-	
fliq	NZ_CP015578.1	1463541	1463807	+	
