gene	contig	start	end	strand	overlaps
flim	NZ_CP053840.1	340798	341889	-	
flid	NZ_CP053840.1	349016	350356	+	
flis	NZ_CP053840.1	350458	350814	+	
motb	NZ_CP053840.1	1090679	1091425	-	
mota	NZ_CP053840.1	1091429	1092187	-	
flid	NZ_CP053840.1	1667063	1668409	-	
flip	NZ_CP053840.1	1846749	1847477	+	
flha	NZ_CP053840.1	2580307	2582418	-	
flhb	NZ_CP053840.1	2586881	2587927	-	
flgc	NZ_CP053840.1	2590769	2591230	-	
flie	NZ_CP053840.1	2591245	2591541	-	
flig	NZ_CP053840.1	2605556	2606566	-	
flif	NZ_CP053840.1	2606581	2608296	-	
flgb	NZ_CP053840.1	2608313	2608717	-	
flgg	NZ_CP053840.1	2610976	2611764	+	
