gene	accession	ref_hits	ref_agree	ref_disagree	ref_unnamed	disagreeing_refs	eggnog_status	eggnog_name	flag
chea	GCF_000012965.1	3	1	1	1	H.pylori:cheay2			
chea	GCF_000021725.1	4	2	1	1	H.pylori:cheay2			
chea	GCF_000024885.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000147355.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_000155475.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000162575.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000183725.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_000196135.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000200595.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_000242915.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_000254135.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000259275.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000265295.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000445475.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_000507845.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_000518225.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000568815.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000597725.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000686565.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000687535.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000736415.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000762845.2	5	2	1	2	H.pylori:cheay2			
chea	GCF_000762875.2	4	1	1	2	H.pylori:cheay2			
chea	GCF_000763135.2	5	2	1	2	H.pylori:cheay2			
chea	GCF_000765905.2	5	2	1	2	H.pylori:cheay2			
chea	GCF_000813325.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000816185.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000816305.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_000816785.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_001282945.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_001283065.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_001298465.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_001457695.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_001602095.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_001687475.2	5	2	1	2	H.pylori:cheay2			
chea	GCF_001693335.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_001723605.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002021925.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002080395.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002104335.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002139855.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002139875.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002139915.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002139935.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002238335.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_002335445.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003245365.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003364195.1	5	2	1	2	H.pylori:cheay2			
