gene	contig	start	end	strand	overlaps
fliq	NC_012115.1	236431	236697	-	
flin	NC_012115.1	260252	260563	+	
flir	NC_012115.1	397512	398279	+	
flid	NC_012115.1	429076	430782	+	
flis	NC_012115.1	430793	431167	+	
flgg	NC_012115.1	546139	546927	-	
flgf	NC_012115.1	547275	548060	-	
flga	NC_012115.1	754932	755531	-	
flha	NC_012115.1	811151	813313	+	
flil	NC_012115.1	895442	895963	+	
flih	NC_012115.1	1017646	1018431	-	flig
flig	NC_012115.1	1018424	1019449	-	flih
flif	NC_012115.1	1019459	1021144	-	
flip	NC_012115.1	1074142	1074870	-	
fliy	NC_012115.1	1244537	1245349	-	flim
flim	NC_012115.1	1245342	1246412	-	fliy
flgl	NC_012115.1	1255956	1258568	-	
flgk	NC_012115.1	1373858	1376041	+	
flhb	NC_012115.1	1452503	1453558	-	
flie	NC_012115.1	1588818	1589108	-	
flgc	NC_012115.1	1589119	1589616	-	
flgb	NC_012115.1	1589626	1590057	-	
