gene	contig	start	end	strand	overlaps
flil	NZ_JADE01000012.1	5851	6360	+	
flhb	NZ_JADE01000008.1	7126	8214	+	
flga	NZ_JADE01000007.1	11611	12486	+	
flgh	NZ_KI912401.1	20610	21299	-	
flir	NZ_JADE01000012.1	22120	22896	-	
flip	NZ_JADE01000006.1	35579	36289	+	
motb	NZ_JADE01000010.1	40738	41493	-	
flid	NZ_JADE01000011.1	41037	43067	+	
mota	NZ_JADE01000010.1	41502	42272	-	
flis	NZ_JADE01000011.1	43070	43447	+	
flgd	NZ_JADE01000010.1	49999	50904	-	
flgg	NZ_JADE01000009.1	57102	57890	+	
flha	NZ_KI912401.1	59593	61830	-	
flim	NZ_JADE01000007.1	81626	82669	+	
fliy	NZ_JADE01000007.1	82673	83515	+	
flgk	NZ_JADE01000007.1	87636	89453	-	
flge	NZ_JADE01000006.1	132119	134263	-	
flgl	NZ_JADE01000006.1	151953	154478	-	
flin	NZ_JADE01000006.1	175131	175487	-	
fliq	NZ_KI912401.1	214811	215077	+	
flig	NZ_KI912401.1	306975	308006	-	
flif	NZ_KI912401.1	308010	309740	-	
flgb	NZ_KI912401.1	354406	354837	+	
flgc	NZ_KI912401.1	354847	355341	+	
flie	NZ_KI912401.1	355355	355672	+	
