gene	contig	start	end	strand	overlaps
flir	NZ_JAQHXR010000008.1	3694	4464	-	
flid	NZ_JAQHXR010000002.1	5365	7434	+	
flis	NZ_JAQHXR010000002.1	7443	7820	+	
flgg	NZ_JAQHXR010000001.1	9493	10278	+	
flgd	NZ_JAQHXR010000002.1	12354	13559	-	
flie	NZ_JAQHXR010000006.1	21943	22260	-	
flgc	NZ_JAQHXR010000006.1	22271	22771	-	
flgb	NZ_JAQHXR010000006.1	22785	23219	-	
flgl	NZ_JAQHXR010000004.1	28236	30860	-	
flga	NZ_JAQHXR010000004.1	69843	70730	+	
flhb	NZ_JAQHXR010000003.1	71532	72596	+	
flha	NZ_JAQHXR010000004.1	73457	75724	+	
fliy	NZ_JAQHXR010000001.1	86333	87181	-	
flim	NZ_JAQHXR010000001.1	87201	88259	-	
fliq	NZ_JAQHXR010000004.1	108214	108480	-	
flgk	NZ_JAQHXR010000001.1	201317	203143	+	
flih	NZ_JAQHXR010000002.1	243884	244738	-	flig
flig	NZ_JAQHXR010000002.1	244731	245765	-	flih
flif	NZ_JAQHXR010000002.1	245765	247486	-	
flil	NZ_JAQHXR010000002.1	273907	274458	-	
flin	NZ_JAQHXR010000002.1	314058	314417	-	
flgh	NZ_JAQHXR010000001.1	341359	342060	-	
flge	NZ_JAQHXR010000002.1	443712	446003	-	
flip	NZ_JAQHXR010000001.1	482593	483357	+	
