gene	contig	start	end	strand	overlaps
flhb	NZ_JHWC01000013.1	5212	6276	+	
flha	NZ_JHWC01000005.1	5684	7939	+	
flim	NZ_JHWC01000011.1	8103	9164	+	
fliy	NZ_JHWC01000011.1	9173	10024	+	
flie	NZ_JHWC01000007.1	9692	10009	-	
flgc	NZ_JHWC01000007.1	10020	10520	-	
flgb	NZ_JHWC01000007.1	10531	10965	-	
flil	NZ_JHWC01000006.1	11971	12507	+	
fliq	NZ_JHWC01000005.1	14353	14619	-	
flir	NZ_JHWC01000011.1	19694	20473	-	
flga	NZ_JHWC01000010.1	42965	43873	+	
flin	NZ_JHWC01000007.1	65512	65871	+	
flgg	NZ_JHWC01000005.1	67380	68165	-	
flgd	NZ_JHWC01000001.1	77507	78460	-	
flge	NZ_JHWC01000009.1	79863	82121	+	
flip	NZ_JHWC01000004.1	83693	84442	-	
flid	NZ_JHWC01000001.1	119251	121314	+	
flis	NZ_JHWC01000001.1	121330	121707	+	
flif	NZ_JHWC01000001.1	135864	137582	+	
flig	NZ_JHWC01000001.1	137582	138616	+	flih
flih	NZ_JHWC01000001.1	138609	139451	+	flig
flgk	NZ_JHWC01000002.1	144496	146322	+	
flgl	NZ_JHWC01000002.1	155155	157785	+	
flgh	NZ_JHWC01000001.1	243433	244173	+	
