gene	contig	start	end	strand	overlaps
fliy	NZ_JAJTMY010000001.1	1823	2659	-	flim
flim	NZ_JAJTMY010000001.1	2652	3728	-	fliy
flge	NZ_JAJTMY010000005.1	11399	13549	+	
flie	NZ_JAJTMY010000005.1	26281	26595	-	
flgc	NZ_JAJTMY010000005.1	26617	27108	-	
flgb	NZ_JAJTMY010000005.1	27123	27572	-	
flih	NZ_JAJTMY010000003.1	31312	32106	-	flig
flig	NZ_JAJTMY010000003.1	32090	33118	-	flih
flif	NZ_JAJTMY010000003.1	33127	34821	-	
flik	NZ_JAJTMY010000002.1	43961	44668	+	
flgg	NZ_JAJTMY010000005.1	44870	45658	-	
fliq	NZ_JAJTMY010000002.1	67071	67337	+	
flip	NZ_JAJTMY010000004.1	100747	101490	-	
flis	NZ_JAJTMY010000001.1	113974	114354	-	
flid	NZ_JAJTMY010000001.1	114364	116400	-	
flga	NZ_JAJTMY010000004.1	118438	119106	-	
flha	NZ_JAJTMY010000002.1	119569	121749	-	
motb	NZ_JAJTMY010000001.1	149256	150032	-	
mota	NZ_JAJTMY010000001.1	150036	150806	-	
flir	NZ_JAJTMY010000003.1	151541	152305	+	
flgk	NZ_JAJTMY010000001.1	181300	183120	+	
flin	NZ_JAJTMY010000001.1	209316	209660	+	
flhb	NZ_JAJTMY010000002.1	210538	211635	-	
flil	NZ_JAJTMY010000002.1	230961	231482	-	
flgl	NZ_JAJTMY010000002.1	328903	331380	-	
flgh	NZ_JAJTMY010000001.1	471319	472020	+	
