gene	contig	start	end	strand	overlaps
flir	NZ_JAJTNB010000014.1	1140	1913	-	
flin	NZ_JAJTNB010000007.1	7802	8152	+	
flif	NZ_JAJTNB010000001.1	8394	10118	+	
flig	NZ_JAJTNB010000001.1	10122	11153	+	
flid	NZ_JAJTNB010000008.1	11393	13423	+	
flis	NZ_JAJTNB010000008.1	13426	13806	+	
flgl	NZ_JAJTNB010000007.1	25514	28039	+	
motb	NZ_JAJTNB010000002.1	31878	32660	-	
mota	NZ_JAJTNB010000002.1	32670	33440	-	
flil	NZ_JAJTNB010000010.1	36299	36805	+	
flgd	NZ_JAJTNB010000002.1	40742	41647	-	
flgg	NZ_JAJTNB010000009.1	46000	46788	+	
flie	NZ_JAJTNB010000008.1	51005	51319	-	
flgc	NZ_JAJTNB010000008.1	51332	51826	-	
flgb	NZ_JAJTNB010000008.1	51836	52267	-	
flhb	NZ_JAJTNB010000003.1	54026	55114	+	
flge	NZ_JAJTNB010000007.1	55808	57952	+	
fliq	NZ_JAJTNB010000001.1	102131	102397	-	
flga	NZ_JAJTNB010000002.1	112490	113368	+	
flim	NZ_JAJTNB010000002.1	190043	191086	+	
flip	NZ_JAJTNB010000003.1	190459	191184	+	
fliy	NZ_JAJTNB010000002.1	191093	191929	+	
flgk	NZ_JAJTNB010000002.1	196022	197839	-	
flgh	NZ_JAJTNB010000001.1	262022	262711	+	
flha	NZ_JAJTNB010000001.1	359044	361233	+	
