gene	contig	start	end	strand	overlaps
fliy	NZ_JRPR02000012.1	92	931	-	flim
flge	NZ_JRPR02000010.1	163	2319	-	
flim	NZ_JRPR02000012.1	928	1989	-	fliy
flgg	NZ_JRPR02000001.1	1472	2260	+	
flgl	NZ_JRPR02000010.1	16752	19319	+	
flgd	NZ_JRPR02000005.1	21358	22179	+	
fliq	NZ_JRPR02000006.1	25591	25857	+	
flhb	NZ_JRPR02000004.1	47183	48301	+	
flha	NZ_JRPR02000006.1	72060	74264	-	
mota	NZ_JRPR02000006.1	96890	97660	+	
motb	NZ_JRPR02000006.1	97672	98424	+	
flil	NZ_JRPR02000006.1	99059	99643	-	
flir	NZ_JRPR02000001.1	134983	135759	-	
flip	NZ_JRPR02000001.1	147253	148062	-	
flid	NZ_JRPR02000002.1	154167	156215	+	
flis	NZ_JRPR02000002.1	156226	156609	+	
flif	NZ_JRPR02000002.1	171734	173446	+	
flig	NZ_JRPR02000002.1	173464	174495	+	flih
flih	NZ_JRPR02000002.1	174482	175312	+	flig
flgh	NZ_JRPR02000001.1	181859	182596	-	
flgk	NZ_JRPR02000001.1	183642	185462	-	
flin	NZ_JRPR02000001.1	372505	372861	+	
flie	NZ_JRPR02000001.1	458447	458752	-	
flgc	NZ_JRPR02000001.1	458802	459293	-	
flgb	NZ_JRPR02000001.1	459304	459738	-	
flga	NZ_JRPR02000001.1	709459	710379	+	
