gene	contig	start	end	strand	overlaps
mota	NZ_NXLU01000007.1	15852	16622	+	
motb	NZ_NXLU01000007.1	16632	17393	+	
flip	NZ_NXLU01000007.1	20340	21044	-	
flge	NZ_NXLU01000009.1	21647	23791	+	
flim	NZ_NXLU01000005.1	22368	23429	+	
flir	NZ_NXLU01000011.1	22845	23618	+	
fliy	NZ_NXLU01000005.1	23441	24289	+	
flgb	NZ_NXLU01000003.1	28096	28527	+	
flgc	NZ_NXLU01000003.1	28537	29031	+	
flie	NZ_NXLU01000003.1	29043	29357	+	
flgk	NZ_NXLU01000010.1	32585	34402	+	
flgl	NZ_NXLU01000007.1	38632	41148	-	
flis	NZ_NXLU01000006.1	82424	82807	-	
flid	NZ_NXLU01000006.1	82821	84857	-	
flha	NZ_NXLU01000002.1	98630	100849	+	
flin	NZ_NXLU01000004.1	102100	102450	+	
flhb	NZ_NXLU01000001.1	112703	113794	-	
flif	NZ_NXLU01000002.1	152263	153990	+	
flig	NZ_NXLU01000002.1	154001	155032	+	
flgg	NZ_NXLU01000001.1	204880	205668	+	
flga	NZ_NXLU01000001.1	213104	213955	+	
fliq	NZ_NXLU01000002.1	219939	220205	+	
flgh	NZ_NXLU01000002.1	275881	276588	+	
