gene	contig	start	end	strand	overlaps
flis	NZ_JADKPZ010000003.1	7714	8070	-	
flid	NZ_JADKPZ010000003.1	8156	9469	-	
flim	NZ_JADKPZ010000003.1	16673	17767	+	
flha	NZ_JADKPZ010000006.1	20094	22208	-	
flgl	NZ_JADKPZ010000006.1	22225	23358	-	
flhb	NZ_JADKPZ010000006.1	26657	27706	-	
flgc	NZ_JADKPZ010000006.1	30518	30982	-	
flie	NZ_JADKPZ010000006.1	30998	31303	-	
flip	NZ_JADKPZ010000007.1	40581	41246	+	
flig	NZ_JADKPZ010000006.1	43712	44707	-	
flif	NZ_JADKPZ010000006.1	44717	46468	-	
flgb	NZ_JADKPZ010000006.1	46486	46890	-	
flgg	NZ_JADKPZ010000006.1	49076	49864	+	
mota	NZ_JADKPZ010000008.1	76728	77486	+	
motb	NZ_JADKPZ010000008.1	77488	78243	+	
