tree	n_sites	ufboot	group_size	gtdb_span	n_gtdb_branches_contradicted	min_gcf_conflicting	recurrence	also_in	organisms	gtdb_extra	accessions
flgi	260	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flgj	74	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flgl	299	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flha	554	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flia	223	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flid	590	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flif	501	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flig	341	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flip	243	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flis	110	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
pflb	600	100.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
CONCAT	None	100.0	2	3	1	21.21	20	chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flgk	490	99.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flhb	302	99.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flim	303	99.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
fliq	86	99.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flag	63	98.0	2	3	1	21.21	20	CONCAT,chea,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flhf	311	98.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
chea	781	96.0	2	3	1	21.21	20	CONCAT,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flii,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flii	428	95.0	2	3	1	21.21	20	CONCAT,chea,flag,flgi,flgj,flgk,flgl,flha,flhb,flhf,flia,flid,flif,flig,flim,flip,fliq,flis,pflb	Hydrogenimonas urashimensis; Hydrogenimonas cancrithermarum	Hydrogenimonas thermophila	GCF_016593255.1,GCF_030296055.1
flha	554	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flid	590	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flig	341	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flih	150	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flii	428	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flin	87	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flip	243	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
fliy	194	100.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
CONCAT	None	100.0	2	5	2	9.09	17	flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flgi	260	99.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
pflb	600	99.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flgg	262	98.0	2	5	2	9.09	17	CONCAT,flgc,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flis	110	98.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
