gene	contig	start	end	strand	overlaps
flha	NZ_MUXE01000011.1	27810	29921	-	
flip	NZ_MUXE01000016.1	29317	30045	-	
flgl	NZ_MUXE01000011.1	29944	31086	-	
flik	NZ_MUXE01000016.1	32683	34335	-	
flhb	NZ_MUXE01000011.1	34385	35431	-	
flik	NZ_MUXE01000011.1	36195	38105	-	
flgc	NZ_MUXE01000011.1	38111	38572	-	
flie	NZ_MUXE01000011.1	38587	38883	-	
flim	NZ_MUXE01000008.1	44471	45562	-	
flid	NZ_MUXE01000008.1	52688	54040	+	
flig	NZ_MUXE01000011.1	52899	53906	-	
flif	NZ_MUXE01000011.1	53922	55640	-	
flis	NZ_MUXE01000008.1	54123	54479	+	
flgb	NZ_MUXE01000011.1	55657	56061	-	
flgg	NZ_MUXE01000011.1	58318	59106	+	
motb	NZ_MUXE01000011.1	82341	83129	-	
mota	NZ_MUXE01000011.1	83133	83891	-	
