gene	contig	start	end	strand	overlaps
flin	NC_014810.2	79419	79838	+	
flga	NC_014810.2	188421	189092	+	
flhb	NC_014810.2	208003	209061	-	
flih	NC_014810.2	280637	281431	-	flig
flig	NC_014810.2	281424	282452	-	flih
flif	NC_014810.2	282453	284156	-	
flgb	NC_014810.2	353488	353910	+	
flgc	NC_014810.2	353925	354416	+	
flie	NC_014810.2	354500	354802	+	
flge	NC_014810.2	485415	487571	-	
flgl	NC_014810.2	535911	538442	+	
flil	NC_014810.2	587769	588317	-	
flha	NC_014810.2	934563	936761	-	
flgd	NC_014810.2	997150	998277	-	
flik	NC_014810.2	998324	999664	-	
flgg	NC_014810.2	1071576	1072364	-	
flid	NC_014810.2	1087555	1089609	+	
flis	NC_014810.2	1089627	1090010	+	
fliq	NC_014810.2	1109822	1110088	+	
mota	NC_014810.2	1112585	1113355	+	
motb	NC_014810.2	1113355	1114116	+	
flgk	NC_014810.2	1162010	1163830	-	
flip	NC_014810.2	1216838	1217596	+	
flim	NC_014810.2	1364376	1365437	+	fliy
fliy	NC_014810.2	1365434	1366312	+	flim
flir	NC_014810.2	1427354	1428121	-	
flgh	NC_014810.2	1496868	1497572	-	
