gene	contig	start	end	strand	overlaps
flge	NZ_CP054493.1	35993	38128	+	
flie	NZ_CP054493.1	295856	296158	-	
flgc	NZ_CP054493.1	296187	296681	-	
flgb	NZ_CP054493.1	296749	297180	-	
flif	NZ_CP054493.1	425164	426864	+	
flig	NZ_CP054493.1	426881	427906	+	
flih	NZ_CP054493.1	427909	428715	+	
flgk	NZ_CP054493.1	554012	555901	+	
flhb	NZ_CP054493.1	800526	801578	+	
flim	NZ_CP054493.1	821057	822157	+	
fliy	NZ_CP054493.1	822160	823023	+	
flha	NZ_CP054493.1	880288	882372	-	
flgh	NZ_CP054493.1	887917	888639	+	
flil	NZ_CP054493.1	953308	953856	-	
flip	NZ_CP054493.1	1190223	1190957	+	
flgg	NZ_CP054493.1	1250050	1250838	+	
flgl	NZ_CP054493.1	1344568	1346667	-	
flga	NZ_CP054493.1	1346977	1347846	+	
flin	NZ_CP054493.1	1391541	1391885	+	
flir	NZ_CP054493.1	2109132	2109896	-	
flis	NZ_CP054493.1	2356314	2356688	-	
flid	NZ_CP054493.1	2356781	2358151	-	
fliq	NZ_CP054493.1	2388064	2388330	+	
