gene	contig	start	end	strand	overlaps
flgg	NZ_CP032823.1	333743	334531	-	
flgb	NZ_CP032823.1	336702	337097	+	
flif	NZ_CP032823.1	337113	338825	+	
flig	NZ_CP032823.1	338835	339845	+	
flie	NZ_CP032823.1	352781	353101	+	
flgc	NZ_CP032823.1	353117	353584	+	
flhb	NZ_CP032823.1	356311	357360	+	
flha	NZ_CP032823.1	361810	363918	+	
motb	NZ_CP032823.1	414746	415489	-	
mota	NZ_CP032823.1	415502	416254	-	
flik	NZ_CP032823.1	707798	709495	-	
flip	NZ_CP032823.1	1227228	1227959	+	
flis	NZ_CP032823.1	1748873	1749229	-	
flid	NZ_CP032823.1	1749318	1750649	-	
flim	NZ_CP032823.1	1757976	1759091	+	
