gene	contig	start	end	strand	overlaps
flim	NZ_LT906455.1	199378	200484	-	
flgk	NZ_LT906455.1	205815	207725	+	
flid	NZ_LT906455.1	207746	209083	+	
flis	NZ_LT906455.1	209155	209511	+	
motb	NZ_LT906455.1	398458	399213	-	
mota	NZ_LT906455.1	399217	399975	-	
flip	NZ_LT906455.1	1000185	1000910	-	
flik	NZ_LT906455.1	1387890	1389581	+	
flha	NZ_LT906455.1	1941402	1943513	-	
flgl	NZ_LT906455.1	1943533	1944663	-	
flhb	NZ_LT906455.1	1947968	1949017	-	
flgc	NZ_LT906455.1	1951728	1952192	-	
flie	NZ_LT906455.1	1952207	1952527	-	
flig	NZ_LT906455.1	1965510	1966520	-	
flif	NZ_LT906455.1	1966533	1968257	-	
flgb	NZ_LT906455.1	1968275	1968673	-	
flgg	NZ_LT906455.1	1970893	1971681	+	
