gene	contig	start	end	strand	overlaps
flid	NZ_CP041070.1	1606456	1607796	-	
flgl	NZ_CP041070.1	1609580	1610707	-	
flip	NZ_CP041070.1	1777424	1778155	+	
flha	NZ_CP041070.1	2382995	2385115	-	
flhb	NZ_CP041070.1	2388528	2389580	-	
flgc	NZ_CP041070.1	2392541	2392999	-	
flie	NZ_CP041070.1	2393014	2393313	-	
flig	NZ_CP041070.1	2403082	2404086	-	
flif	NZ_CP041070.1	2404096	2405826	-	
flgb	NZ_CP041070.1	2405843	2406253	-	
flgg	NZ_CP041070.1	2408665	2409453	+	
flis	NZ_CP041070.1	2672992	2673315	-	
flim	NZ_CP041070.1	2678443	2679561	+	
