gene	contig	start	end	strand	overlaps
flir	NZ_CP031611.1	223813	224580	+	
flgp	NZ_CP031611.1	369397	369912	+	flgq
flgq	NZ_CP031611.1	369888	370337	+	flgp
flgl	NZ_CP031611.1	492296	494545	+	
flha	NZ_CP031611.1	498340	500505	+	
flip	NZ_CP031611.1	542997	543731	+	
flga	NZ_CP031611.1	586105	586767	+	
flgg	NZ_CP031611.1	650331	651122	-	
flgh	NZ_CP031611.1	661602	662300	+	
flis	NZ_CP031611.1	875163	875546	-	
flid	NZ_CP031611.1	875557	877497	-	
flgb	NZ_CP031611.1	897583	898014	+	
flgc	NZ_CP031611.1	898024	898518	+	
flie	NZ_CP031611.1	898525	898821	+	
flil	NZ_CP031611.1	964975	965508	+	
flgk	NZ_CP031611.1	1032025	1033851	+	
flim	NZ_CP031611.1	1161240	1162319	+	fliy
fliy	NZ_CP031611.1	1162316	1163155	+	flim
flge	NZ_CP031611.1	1224751	1227312	+	
fliq	NZ_CP031611.1	1274721	1274990	-	
flif	NZ_CP031611.1	1432325	1434007	+	
flig	NZ_CP031611.1	1434007	1435035	+	
flih	NZ_CP031611.1	1435045	1435866	+	
flhb	NZ_CP031611.1	1448683	1449780	+	motb
motb	NZ_CP031611.1	1449777	1450520	-	flhb
mota	NZ_CP031611.1	1450523	1451299	-	
flin	NZ_CP031611.1	1464480	1464785	+	
