gene	contig	start	end	strand	overlaps
flis	NZ_CP031367.1	178055	178411	-	
flid	NZ_CP031367.1	178491	179867	-	
flim	NZ_CP031367.1	187146	188261	+	
flip	NZ_CP031367.1	1242450	1243181	-	
mota	NZ_CP031367.1	1528684	1529436	+	
motb	NZ_CP031367.1	1529446	1530189	+	
flha	NZ_CP031367.1	1569084	1571195	-	
flgl	NZ_CP031367.1	1571215	1572345	-	
flhb	NZ_CP031367.1	1575648	1576697	-	
flgc	NZ_CP031367.1	1579319	1579786	-	
flie	NZ_CP031367.1	1579802	1580122	-	
flig	NZ_CP031367.1	1593931	1594941	-	
flif	NZ_CP031367.1	1594951	1596663	-	
flgb	NZ_CP031367.1	1596679	1597074	-	
flgg	NZ_CP031367.1	1599231	1600019	+	
